nasukati;nasukah;nasukaš;nasuka;nasukasmo;nasukajte;nasukaju
napominjati;napominjah;napominjaše;napominje;napominjasmo;napominjite;napominjahu
optuživati;optužujem;optužuješ;optužuje;optužujmo;optužujte;optuživahu
isporučivati;isporučivah;isporučivaše;isporučuje;isporučivasmo;isporučivaste;isporučivahu
žeti;žnjem;žnji;žnje;žnjimo;žnjite;bili
zaljepljivati;zaljepljivah;zaljepljivaše;neka zaljepljuje;zaljepljivasmo;zaljepljujte;neka zaljepljuju
oslabljivati;oslabljivah;oslabljivaše;neka oslabljuje;oslabljivasmo;oslabljujte;neka oslabljuju
izluđivati;izluđivah;izluđivaše;izluđuje;izluđivasmo;izluđujte;izluđivahu
ispaljivati;ispaljujem;ispaljuješ;ispaljuje;ispaljujmo;ispaljujte;ispaljuju
prerušivati;prerušivah;prerušivaše;neka prerušuje;prerušivasmo;prerušujte;prerušivahu
njegovati;njegujem;njeguješ;njeguje;njegujmo;njegujte;njeguju
okajati;okajah;okaj;okaja;okajmo;okajte;okajaše
strahovati;strahujem;strahuješ;strahuje;strahujmo;strahujte;strahuju
brijati;brijem;briješ;brijaše;brijmo;brijte;briju
dodjeljivati;dodjeljujem;dodjeljuješ;dodjeljivaše;dodjeljujmo;dodjeljujte;dodjeljuju
sakriti;sakrijem;sakriješ;sakri;sakrijemo;sakrijte;sakriju
preplavljivati;preplavljivah;preplavljivaše;neka preplavljuje;preplavljivasmo;preplavljujte;neka preplavljuju
sporazumjeti;sporazumjeh;sporazumje;sporazumje;sporazumjesmo;sporazumjeste;sporazumješe
osnaživati;osnaživah;osnaživaše;neka osnažuje;osnaživasmo;osnažujte;neka osnažuju
umjeti;umijah;umijaše;umijaše;umijasmo;umijaste;umijahu
produljivati;produljivah;produljivaše;neka produljuje;produljivasmo;produljujte;neka produljuju
šiti;šijem;šiješ;šijaše;šijmo;šijte;šijahu
privezivati;privezivah;privezivaše;neka privezuje;privezivasmo;privezujte;neka privezuju
posjećivati;posjećivah;posjećuj;posjećuje;posjećujmo;posjećujte;posjećuju
izbezumljivati;izbezumljivah;izbezumljivaše;izbezumljuje;izbezumljivasmo;izbezumljujte;izbezumljivahu
usuđivati;usuđujem;usuđuješ;usuđivaše;usuđujemo;usuđujete;usuđuju
otimati;otimljem;otimlješ;otimaše;otimamo;otimajte;otimahu
poplavljivati;poplavljujem;poplavljuješ;poplavljuje;poplavljujmo;poplavljujte;poplavljuju
savjetovati;savjetujem;savjetova;savjetuje;savjetujmo;savjetujte;savjetuju
zanemarivati;zanemarivah;zanemarivaše;neka zanemaruje;zanemarivasmo;zanemarivaste;neka zanemaruju
darovati;darujem;daruješ;darova;darujmo;darujte;darovat
priznavati;priznavah;priznavaše;priznavaše;priznavasmo;priznavaste;priznavahu
dočuti;dočujem;dočuješ;dočuje;dočusmo;dočujte;dočuju
blagovati;blagujem;blaguješ;blaguje;blagujmo;blagujte;blaguju
opsovati;opsujem;opsuješ;opsuje;opsujemo;opsujte;opsuju
otposlati;otposlah;otpošalješ;otpošlje;otposlasmo;otposlajte;otpošlju
namamljivati;namamljivah;namamljivaše;neka namaljuje;namamljivasmo;namamljujte;neka namamljuju
uređivati;uređujem;-;uređivaše;-;-;-
naručivati;naručivah;naručivaše;naručuje;naručivasmo;naručujte;naručivahu
zavjetovati;zavjetujem;zavjetova;zavjetova;zavjetujmo;zavjetujte;zavjetuju
titlovati;titlujem;titluješ;titluje;titlujmo;titlujte;titluju
poštovati;poštujem;poštuj;poštovaše;poštujemo;poštujte;poštuju
zaključivati;zaključivah;zaključuj;zaključivaše;zaključujmo;zaključujte;zaključuju
uprizorivati;uprizorivah;uprizorivaše;uprizoruje;uprizorivasmo;uprizorujte;uprizorivahu
usmrćivati;usmrćivah;usmrćivaše;neka usmrćuje;usmrćivasmo;usmrćujte;neka usmrćuju
zaglavljivati;zaglavljivah;zaglavljivaše;neka zaglavljuje;zaglavljivasmo;zaglavljujte;neka zaglavljuju
opetovati;opetujem;opetova;opetova;opetujmo;opetujte;opetuju
uznemirivati;uznemirujem;uznemiruj;uznemirivaše;uznemirujemo;uznemirujte;uznemiruju
upaljivati;upaljivah;upaljuješ;neka upaljuje;upaljivasmo;upaljujte;neka upaljuju
pogurivati;pogurivah;pogurivaše;neka poguruje;pogurivasmo;pogurujte;neka poguruju
mačevati;mačevah;mačevaše;mačuje;mačevasmo;mačujte;mačevahu
prošupljivati;prošupljivah;prošupljivaše;neka prošupljuje;prošupljivasmo;prošupljujte;neka prošupljuju
pobjeđivati;pobjeđivah;pobjeđivaše;pobjeđuje;pobjeđivasmo;pobjeđujte;pobjeđivahu
mljeti;meljah;mljaše;meljaše;meljimo;meljaste;meljahu
porubljivati;porubljivah;porubljivaše;neka porubljuje;porubljivasmo;porubljujte;neka porubljuju
stanovati;stanujem;stanuj;stanuje;stanujmo;stanujte;stanuju
iskazivati;iskazivah;iskazivaše;iskazivaše;iskazivasmo;iskazivaste;iskazivahu
napuhivati;napuhivah;napuhivaše;neka napuhuje;napuhivasmo;napuhujte;neka napuhuju
trovati;trujem;trovaše;trovaše;trujemo;trujte;truju
prokrčivati;prokrčivah;prokrčivaše;neka prokrčuje;prokrčivasmo;prokrčujte;neka prokrčuju
oštećivati;oštećivah;oštećivaše;neka oštećuje;oštećivasmo;oštećujte;neka oštećuju
iznuđivati;iznuđivah;iznuđiva;neka iznuđuje;iznuđivasmo;iznuđujte;neka iznuđuju
rashlađivati;rashlađivah;rashlađivaše;neka rashlađuje;rashlađivasmo;rashlađujte;neka rashlađuju
podsmjehivati;podsmjehivah;podsmjehivaše;podsmjehuje;podsmjehivasmo;podsmjehujte;podsmjehuju
izuti;izujem;izuješ;izuje;izusmo;izujte;izuše
propisivati;propisujem;-;propisivaše;-;-;-
zasluživati;zasluživah;zaslužuj;zaslužuje;zaslužujmo;zaslužujte;zaslužuju
okovati;okujem;okuješ;okuje;okujmo;okujte;okuju
presuđivati;presuđivah;presuđiva;neka presuđuje;presuđivasmo;presuđujte;neka presuđuju
popisivati;popisujem;popisuješ;popisuje;popisujmo;popisujte;popisuju
šefovati;šefujem;šefuješ;šefuje;šefujmo;šefujte;šefuju
zasađivati;zasađivah;zasađivaše;zasađuje;zasađivasmo;zasađujte;zasađuju
dovikivati;dovikujem;dovikuješ;dovikivaše;-;-;dovikuju
bojevati;bojujem;bojuješ;bojuje;bojujmo;bojujte;bojuju
ubiti;ubih;ubiješ;ubije;ubismo;ubijte;ubiše
odstranjivati;odstranjivah;odstranjivaše;neka odstranjuje;odstranjivasmo;odstranjujte;odstranjivahu
zapiti;zapih;zapi;zapije;zapismo;zapijte;zapiju
dosađivati;dosađivah;dosađivaše;neka dosađuje;dosađivasmo;dosađujte;neka dosađuju
primjećivati;primjećujem;-;primjećivaše;primjećujemo;-;primjećivahu
prisustvovati;prisustvujem;-;prisustvovaše;-;-;prisustvuju
ishlapljivati;ishlapljivah;ishlapljuješ;ishlapljuje;ishlapljivasmo;ishlapljujte;ishlapljivahu
predavati;predavah;predavaše;predavaše;predavasmo;predajite;predavahu
izostajati;izostajah;izostajaše;izostaje;izostajasmo;izostajte;izostajahu
zastajati;zastajem;zastaj;zastajaše;zastajmo;zastajte;zastaju
kovati;kujem;kuješ;kovaše;kujmo;kujte;kovat
narinuti;narinuo;narineš;narine;narinusmo;narinuste;narinuše
predignuti;predigoh;prediže;prediže;predigosmo;predigoste;predigoše
prepasti;prepadoh;prepadni;prepadne;prepadosmo;prepadoste;prepadoše
upirati;upirem;upiri;upire;upirimo;upirite;upiru
srati;srah;sraše;sraše;srasmo;serite;srahu
šapnuti;šapnuh;šapnu;šapnu;šapnusmo;šapnuste;šapnuše
prepisati;prepišem;prepiši;prepiše;prepišimo;prepišite;prepišu
zakoraknuti;zakoraknuo;zakorakneš;neka zakorakne;zakoraknusmo;zakoraknite;neka zakoraknu
zajahati;zajašem;zajaši;zajaše;zajašimo;zajašite;zajašu
vesti;vezijah;vezijaše;vezijaše;vezimo;vezite;vezijahu
metnuti;metnuh;metnu;metnu;metnusmo;metnuste;metnuše
podastrijeti;podastrijeh;podastrije;podastrije;podastrimo;podastrite;podastru
istisnuti;istisnuh;istisnu;istisnu;istisnusmo;istisnuste;istisnuše
zbrati;zbrah;zbra;zbere;zbrasmo;zbrite;zbru
pljunuti;pljunvuši;pljuneš;pljunu;pljunusmo;pljunite;pljunuše
naći;nađem;nađi;nađe;nađimo;nađoste;nađu
zaklepetati;zaklepećem;zaklepeći;zaklepeće;zaklepećimo;zaklepećite;zaklepeću
uskliknuti;uskliknem;uskliknu;usklikne;uskliknemo;-;uskliknuše
šibnuti;šibnuh;šibnu;šibnu;šibnusmo;šibnuste;šibnuše
izokrenuti;izokrenuo;izokrknu;izokrče;izokrenusmo;izokrenite;izokrenuše
dodirnuti;dodirnuo;dodirneš;dodirnu;dodirnimo;dodirnite;dodirnuše
istesati;istešem;isteši;isteše;istešimo;istešite;istešu
porasti;porastem;porasteš;poraste;porastimo;porastite;porastu
zamaći;zamačem;zamačeć;zamakne;zamačemo;zamačete;zamaći
zapletati;zaplitah;zaplići;zapliće;zaplićimo;zaplićite;zaplitahu
prsnuti;prsnem;prsnu;prsnu;-;-;prsnu
namaknuti;namakoh;namaknu;namaknu;namakosmo;namakoste;namakoše
isjeći;isjeko;isiječeš;isiječe;isijecimo;isijecite;isijeku
tisnuti;tisnuo;tisneš;tišnjaše;tisnusmo;tisnite;neka tisnu
oblijetati;oblijećem;oblijećeš;oblijeće;oblijećemo;oblijećite;oblijeću
isprepletati;isprepletah;isprepletaše;isprepleće;isprepletasmo;ispreplećite;isprepletahu
odjenuti;odjenem;odjeni;odjene;odjenusmo;odjenite;odjenuše
privesti;privedoh;privedeš;privede;privedimo;privedite;privedu
uzdignuti;uzdignem;uzdigni;uzdignu;uzdigosmo;uzdignite;uzdignuše
proizvesti;proizvedoh;proizvedi;proizvede;proizvedosmo;proizvedoste;proizvedu
turnuti;turnuh;turnu;turnu;turnusmo;turnuste;turnuše
podvrgnuti;podvrgnuh;podvrže;podvrže;podvrgnusmo;podvrgnuste;podvrgnuše
navinuti;navinuo;navineš;navine;navinusmo;navinite;navinuše
obići;obiđem;obiđeš;obiđe;obiđosmo;obiđoste;obiđoše
opomenuti;opomenuh;opomeni;opomenu;opomenusmo;opomenuste;opomenuše
zakleti;zakunem;zakuneš;zakune;zakunemo;zakunite;zakunu
pretjecati;pretječem;pretjecaše;pretjecaše;pretjecasmo;pretječite;pretječu
prići;priđem;priđi;priđe;-;priđite;priđu
nadzirati;nadziram;nadziraš;nadzira;nadziramo;nadzirate;nadziraju
išmrkati;išmrkah;išmrka;išmrče;išmrkasmo;išmrčite;išmrkaše
otpočeti;otpočeh;otpočneš;otpočne;otpočesmo;otpočnite;otpočnu
sinuti;šinuh;šineš;sine;šinusmo;šinuste;šinuše
dometnuti;dometnuh;dometnu;dometnu;dometnusmo;dometnuste;dometnuše
uzverati;uzverem;uzveri;uzvere;uzverimo;uzverite;uzveru
pisnuti;pisnuh;pisnu;pisnu;pisnusmo;pisnuste;pisnuše
odmicati;odmicah;odmičeš;odmicaše;odmicasmo;odmičite;odmicahu
laknuti;laknuh;laknu;laknu;laknusmo;laknuste;laknuše
izreći;izrekoh;izrekni;izrekne;izrecimo;izreknite;izreknu
saplesti;sapleo;sapleteš;saplete;sapletosmo;sapletite;sapletoše
naduti;naduh;nadmeš;nadme;nadusmo;naduste;nadmu
rasplesti;raspletoh;raspleti;rasplete;raspletosmo;raspletoste;raspletu
trljati;-;trljaše;trljaše;-;-;-
prisezati;prisežem;prisezaše;prisezaše;-;-;prisežu
iskoraknuti;iskoraknuh;iskoraknu;iskoraknu;iskoraknusmo;iskoraknuste;iskoraknuše
čeznuti;čeznuvši;čežnjaše;čezni;čežnjasmo;čeznimo;čeznite
obući;obučem;obučeš;-;obukosmo;obukoste;obući
poduzeti;poduzmem;poduzmi;poduze;poduzmimo;poduzmite;poduzmu
tresti;tresijah;tresaše;tresaše;tresimo;tresite;tresijahu
umakati;umakah;umakaše;neka umače;umakasmo;umačite;neka umaču
provirati;provirem;provireš;proviraše;proviremo;provirete;proviru
dovesti;dovezoh;dovezi;doveze;dovezosmo;dovezoste;dovest
djenuti;djenem;djeneš;djenu;djenusmo;djenuste;djenuše
dovesti;dovezoh;dovezi;doveze;dovezosmo;dovezoste;dovest
podvinuti;podvinuo;podvineš;podvine;podvinusmo;podvinuste;podvinuše
odmetnuti;odmetnuh;odmetnu;odmetnu;odmetnusmo;odmetnuste;odmetnuše
prirezati;prirežem;prireži;prireže;prirežimo;prirežite;prirežu
lanuti;lanuh;lanu;lanu;lanusmo;lanuste;lanuše
nadometnuti;nadometnuh;nadometneš;neka nadometnne;nadometnusmo;nadometnite;neka nadometnu
ispreplitati;ispreplitah;ispreplitaše;isprepliće;ispreplitasmo;ispreplićite;ispreplitahu
zadubiti;zadubih;zadubi;zadubi;zadubosmo;zaduboste;zadubu
uplesti;upletoh;upleti;uplete;upletimo;upletite;upletoše
zapahnuti;zapahnuh;zapahnu;zapahnu;zapahnusmo;zapahnuste;zapahnuše
zategnuti;zategoh;zategnu;zategnu;zategosmo;zategoste;zategoše
zametati;zametah;zametaše;zameće;zametasmo;zamećite;zameću
otklizati;otklizah;otkliza;otkliže;otklizasmo;otkližite;otklizaše
gugutati;gugućem;gugućeš;guguće;gugućemo;gugućite;guguću
zatrti;zatrh;zatari;zatr;zatarimo;zatarite;zatrše
izvagati;izvažem;izvaži;izvaže;izvažimo;izvažite;izvažu
izlokati;izločem;izločeš;izloče;izločemo;izlčite;izloču
protisnuti;potisnuh;potisnu;potisnu;potisnusmo;potisnuste;potisnuše
kukurikati;kukuričem;kukuričeš;kukuriči;kukuričemo;kukuričite;kukuriču
otpočinuti;otpočinuh;otpočineš;otpočine;otpočinusmo;otpočinuste;otpočinuše
pokazati;pokažem;pokaži;pokaže;pokažimo;pokažite;pokažu
crći;crkoh;crknu;crče;crkosmo;crkavši;crkoše
navrijeti;navrijeh;navreš;navrije;navrijesmo;navrite;navriješe
koraknuti;koraknuh;korakneš;korakne;koraknusmo;koraknite;koraknuše
istegnuti;istegoh;isteže;isteže;istegosmo;istegoste;istegoše
sići;siđem;šisla;siđe;siđemo;siđite;siđu
podrignuti;podrignuo;podrigneš;podrigne;podrignusmo;podrignite;podrignuše
usisati;usišem;usiši;usiše;usišimo;usišite;usišu
prenemagati;prenemažem;prenemaži;prenemagaše;prenemažimo;prenemažite;prenemažu
propuhati;propušem;propušeš;propuha;propušemo;propušete;propušu
verati;verem;veri;veraše;verimo;verite;veru
prevesti;prevezoh;prevezeš;prevede;prevezimo;prevezavši;prevezoše
raspolagati;raspolažem;raspolaži;raspolaže;raspolažimo;raspolažite;raspolažu
razasuti;razasuh;razasu;razasu;razasusmo;razasuste;razasuše
pritegnuti;pritegoh;priteže;priteže;pritegosmo;pritegoste;pritegoše
povezati;povežem;poveži;poveza;povežimo;povežite;povezat
odumrijeti;odumrijeh;odumrije;odumrije;odumrimo;odumrite;odumriješe
pognuti;pognvuši;pogneš;pogne;pognusmo;pognite;pognuše
trljati;-;trljaše;trljaše;-;-;-
očvrsnuti;očvrsnuh;očvrsneš;očvrsne;očvrsnusmo;očvrsnuste;očvrsnuše
povenuti;povenuh;povenu;povenu;povenusmo;povenuste;povenuše
lelekati;lelečem;lelečeš;leleče;lelečemo;lelečite;leleču
umetnuti;umetnuh;umetnu;umetnu;umetnusmo;umetnuste;umetnuše
otpisati;otpišem;otpiši;otpiše;otpišimo;otpišite;otpisat
prenijeti;prenijeh;preneseš;prenije;prenijesmo;prenijeste;preniješe
podrezati;podrežem;podreži;podreže;podrežimo;podrežite;podrežu
prinijeti;prinijeh;prinije;prinije;prinijesmo;prinijeste;priniješe
odmoći;odmogoh;odmože;odmože;odmogosmo;odmogoste;odmogoše
rasti;rastijah;rastaše;rastaše;rastasmo;rastite;rastijahu
isklizati;isklizah;iskliza;neka iskliže;isklizasmo;iskližite;neka iskližu
obrnuti;obrnuo;obrneš;obrne;obrnusmo;obrnite;obrnuše
izreći;izrekoh;izrekni;izrekne;izrecimo;izreknite;izreknu
nametati;nametah;nametaše;nameće;nametasmo;namećite;nametahu
poricati;poričem;poriči;poriče;poričimo;poričite;poriču
obvezati;obvežem;obveži;obveže;obvežimo;obvežite;obvežu
zamirati;zamirem;zamiri;zamire;zamirimo;zamirite;zamiru
zapodjenuti;zapodjenuh;zapodjeni;zapodjenu;zapodjenusmo;zapodjenite;zapodjenuše
izdisati;izdišem;izdiši;izdiše;izdišimo;izdišite;izdišu
duhati;dušem;dušeš;duhaše;dušimo;dušite;duhahu
potezati;potezah;potezaše;neka poteže;potezasmo;potežite;neka potežu
izglodati;izglođem;izglođi;izglođe;izglođimo;izglođite;izglođu
otpirati;otpirah;otpiraše;neka otpire;otpirasmo;otpirite;neka otpiru
prisegnuti;prisegoh;priseže;priseže;prisegosmo;prisegoste;prisegoše
tonuti;tonjah;tonjaše;tonjaše;tonjasmo;tonjaste;tonjahu
uklesati;uklešem;ukleši;ukleše;uklešimo;uklešite;uklesat
postizati;postižem;postiži;postizaše;postižimo;postižite;postižu
jeknuti;jeknuh;jeknu;jeknu;jeknusmo;jeknuste;jeknuše
nagnuti;naguo;nagneš;nagne;nagnusmo;nagnite;nagnuše
savinuti;savinuh;savinu;savinu;savinusmo;savinuste;savinuše
zasjesti;zasjeso;zasjedni;zasjedne;zasjedosmo;zasjednite;zasjednu
mrijeti;mrem;mri;mre;mrimo;mrite;mru
prizvati;prizovem;prizva;prizva;-;-;prizvaše
skakutati;skakućem;skakutaše;skakuće;skakutasmo;skakutaste;skakutahu
narezati;narežem;nareži;nareže;narežimo;narežite;narezat
udahnuti;udahnuh;udahnu;udahnu;udahnusmo;udahnuste;udahnuše
prokleti;prokunem;prokuni;prokune;prokunimo;prokunite;prokunu
skoknuti;skoknuh;skoknu;skoknu;skoknusmo;skoknuste;skoknuše
protrnuti;protrnuh;protrnu;protrnu;protrnusmo;protrnuste;protrnuše
ispljunuti;ispljunuh;ispljunu;ispljunu;ispljunusmo;ispljunuste;ispljunuše
napisati;napišem;napiši;napiše;napišimo;napišite;napisat
zblenuti;zblenuh;zbleni;zblenu;zblenusmo;zblenite;zblenuše
zaokrenuti;zaokrenuh;zaokreni;zaokrenu;zaokrenimo;zaokrenite;zaokrenuše
ispeti;ispeo;ispe;ispne;ispesmo;ispnite;ispeše
rastresti;rastresoh;rastresi;rastrese;rastresimo;rastresoste;rastresoše
omanuti;omanvuši;omani;omane;omanimo;omanuvši;omanuše
opasti;opadoh;opadni;opadne;opadosmo;opadoste;opast
ćušnuti;ćušnuh;ćušneš;neka ćušne;ćušnusmo;ćušnite;neka ćušnu
iskrsnuti;iskrsnuh;iskrsnu;iskrsnu;iskrsnusmo;iskrsnuste;iskrsnuše
uzdizati;uzdižem;uzdizaše;uzdizaše;-;-;uzdizahu
pridjenuti;pridjenuh;pridjenu;pridjenu;pridjenusmo;pridjenuste;pridjenuše
premrijeti;premrijeh;premrije;premrije;premrimo;premrite;premru
obliznuti;obliznuo;oblizneš;oblizne;obliznusmo;obliznite;obliznuše
preminuti;preminuh;premini;preminu;preminusmo;preminuste;preminuše
obuzeti;obuzmem;obuzmi;obuzme;obuzmimo;obuzmite;obuzmu
blebetati;blebećem;blebećeš;blebeće;blebećemo;blebećete;blebeću
preoteti;preotmem;preotmi;preotme;preotmimo;preotmite;preotmu
postići;postigoh;postiže;postiže;postigosmo;postigoste;postigoše
nasjesti;nasjedoh;nasjedni;nasjedne;nasjedosmo;nasjedinite;nasjedoše
okinuti;okinuh;okinu;okinu;okinusmo;okinuste;okinuše
jecnuti;jecnuh;jecnu;jecnu;jecnusmo;jecnuste;jecnuše
utrti;utrh;utri;utre;utrsmo;utrste;utrše
cmoknuti;cmoknuh;cmoknu;cmoknu;cmoknusmo;cmoknuste;cmoknuše
zgrepsti;zgreboh;zgrebi;zgrebe;zgrebosmo;zgreboste;zgrebu
napuhnuti;napuhnuo;napuhneš;neka napuhne;napuhnusmo;napuhnite;neka napuhnu
odabirati;odabirem;odabiri;odabire;odabirimo;odabirite;odabiru
proždrijeti;proždrijeh;proždrije;proždrije;proždrimo;proždrite;proždru
uleći;ulegoh;uleže;uleže;ulegosmo;ulegoste;ulegoše
pljesnuti;pljesnem;pljesni;pljesne;pljesnusmo;pljesnite;pljesnuše
mesti;metijah;metijaše;metijaše;metimo;metite;metijahu
otegnuti;otegnuh;otegneš;otegne;otegnusmo;otegnite;otegnuše
povući;povučem;povučeš;povuče;povučemo;povučete;povuku
potkresati;potkresan;potkreši;potkreše;potkrešimo;potkrešite;potkrešu
omahnuti;omahnuh;omahnu;omahnu;omahnusmo;omahnuste;omahnuše
orati;orem;oreš;oraše;orimo;orite;orat
klonuti;klonuh;klonu;klonu;klonusmo;klonuste;klonuše
peći;pečah;pečeš;pečaše;pecimo;pečaste;pečahu
ocvasti;ocvatoh;ocvati;ocvate;ocvatosmo;ocvatoste;ocvast
živžikati;živžičem;živžičeš;živžiče;živžičemo;živžičite;živžiču
istrgnuti;istrgnem;istrgneš;istrgnu;istrgnimo;istrgoste;istrgnuše
brisati;brišem;briši;brisaše;brišimo;brišite;brišu
nastati;nastanem;nasta;nasta;nastanimo;nastanite;nastat
odnijeti;odnijeh;odnesi;odnije;odnijesmo;odnijeste;odniješe
ponići;-;-;-;-;ponikavši;-
zadisati;zadišem;zadiši;zadiše;zadišimo;zadišite;zadišu
pobrinuti;pobrinuh;pobrineš;pobrine;pobrinusmo;pobrinuste;pobrinuše
ispeći;ispeknem;ispekni;ispekne;ispecimo;ispeknite;ispeknu
kresnuti;kresnuh;kresnu;kresnu;kresnusmo;kresnuste;kresnuše
zareći;zarečem;zarečeć;zareče;zarečemo;zarečete;zareknu
sprezati;sprežem;spreži;spreže;sprežimo;sprežite;sprežu
zavesti;zavedoh;zaveze;zaveze;zavedosmo;zavedoste;zavedu
frknuti;frknuh;frknu;frknu;frknusmo;frknuste;frknuše
zakrenuti;zakrenuh;zakreni;zakrenu;zakrenusmo;zakrenite;zakrenuše
proticati;proticah;proticaše;neka protiče;proticasmo;protičite;neka protiču
prezreti;prezrem;prezri;prezre;prezrimo;prezrite;prezru
izgrepsti;izgreboh;izgrebi;izgrebe;izgrebosmo;izgreboste;izgrebu
pisati;pišem;pišeš;neka piše;pišimo;pišite;pisat
poreći;porekoh;poreknu;poreknu;porekosmo;porekoste;poreku
otkazati;otkažem;otkaži;otkaže;otkažimo;otkažite;otkazat
gukati;gučem;gučeš;gukaše;gučemo;gučite;gukahu
prevrnuti;prevrnuh;prevrnu;prevrnu;prevrnusmo;prevrnuste;prevrnuše
uzmaći;uzmakem;uzmakeš;neka uzmakne;uzmakemo;uzmakete;neka uzmaknu
preokrenuti;preokrenuh;preokrenu;preokrenu;preokrenusmo;preokrenuste;preokrenuše
sviknuti;svikoh;sviče;sviknu;svikosmo;svikoste;svikoše
njihati;njihah;njiši;njiše;njišimo;njišite;njihahu
podžeći;podžegoh;podžeže;podžegne;podžegosmo;podžegoste;podžegoše
zatući;zatučem;zatuke;zatuče;zatučemo;zatučete;zatuku
pretegnuti;pretegoh;preteže;preteže;pretegosmo;pretegoste;pretegoše
zakinuti;zakinuh;zakini;zakinu;zakinusmo;zakinite;zakinuše
izricati;izricah;izricaše;izriče;izricasmo;izricaste;izricahu
donesti;-;-;-;-;-;donest
strugnuti;strugnuh;strugnu;strugnu;strugnusmo;strugnuste;strugnuše
pobjeći;pobjegoh;pobježe;pobježe;pobjegosmo;pobjegoste;pobjegoše
dahnuti;dahnuh;dahnu;dahnu;dahnusmo;dahnuste;dahnuše
brinuti;brinuh;brinla;brinjaše;brinli;brinle;brinla
preskakati;preskačem;preskakaše;preskače;preskakasmo;preskakaste;preskakahu
načeti;načeh;načni;nače;načnimo;načnite;načeše
otisnuti;otiskoh;otisneš;otište;otisnimo;otiskoste;otiskoše
briznuti;briznuh;briznu;briznu;briznusmo;briznuste;briznuše
klokotati;klokotah;klokotaše;neka klokoće;klokotasmo;klokoćite;neka klokoću
trepnuti;trepnuh;trepnu;trepnu;trepnusmo;trepnuste;trepnuše
otići;otiđoh;otiđeš;otiđe;otiđemo;odošte;otiđoše
natjecati;natječem;natječeš;natjecaše;natječemo;natječite;natječu
kimnuti;kimnuh;kimneš;kimte;kimnusmo;kimnite;kimnuše
prenuti;prenem;preneš;prene;prenusmo;prenite;prenuše
otići;otiđoh;otiđeš;otiđe;otiđemo;odošte;otiđoše
rasuti;rasuh;-;raspe;-;raspete;rasuše
zeznuti;zeznuo;zezneš;zezne;zeznusmo;zeznite;zeznu
usuti;usuh;usu;usu;ususmo;ususte;usuše
raspasti;raspadoh;raspadni;raspadne;raspadosmo;raspadoste;raspast
smoći;smogoh;smože;smože;smogosmo;smogoste;smogoše
izvirati;izvirem;izviri;izvire;izvirimo;izvirite;izvirahu
sijevnuti;sijevnuh;sijevnu;sijevnu;sijevnusmo;sijevnuste;sijevnuše
ujesti;ujedoh;ujedi;ujede;ujedosmo;ujedoste;ujedu
protresti;protresoh;protresi;protrese;protresosmo;protresoste;protresu
zatresti;zatresoh;zatreseš;zatrese;zatresosmo;zatresite;zatresoše
rastrgnuti;rastrgoh;rastrže;rastrže;rastrgosmo;rastrgoste;rastrgoše
okliznuti;okliznuh;okliznu;okliznu;okliznusmo;okliznuste;okliznuše
strti;strh;stri;stre;strsmo;strste;stru
presjesti;presjedoh;presjedni;presjedne;presjedosmo;presjedoste;presjedoše
ponirati;ponirem;poniri;ponire;ponirimo;ponirite;poniru
laptati;lapćem;lapćeš;lapće;laptasmo;lapćite;lapću
zgranuti;zgranuh;zgraneš;zgrani;zgranusmo;zgranuste;zgranuše
nizati;nizah;nizaše;-;nizasmo;nižite;nizahu
užasnuti;užasnuh;užasnu;užasnu;užasnusmo;užasnuste;užasnuše
prebrinuti;prebrinuh;prebrinu;prebrinu;prebrinusmo;prebrinuste;prebrinuše
skakati;skačem;skačeš;skače;skakasmo;skačete;skakahu
odsjesti;odsjeso;odsjedni;odsjedne;odsjedosmo;odsjedoste;odsjedoše
planuti;planuh;plani;plane;planusmo;planuste;planuše
povesti;povedoh;povezi;poveze;povezemo;povedoste;povezoše
omesti;ometoh;ometi;omete;ometosmo;ometoste;ometu
oprati;operem;opereš;opra;oprasmo;opraste;oprat
ožeći;ožežem;ožežeš;ožeže;ožežemo;ožežite;ožegu
segnuti;segnuh;segneš;neka segne;segunli;segnite;neka segnu
ući;-;-;-;-;-;-
lupnuti;lupnuh;lupneš;neka lupne;lupnusmo;lupnite;neka lupnu
nadvikati;nadvičem;nadvičeš;nadviče;nadvičemo;nadvičite;nadviču
zaokretati;zaokretah;zaokretaše;zaokreće;zaokretasmo;zaokrećite;zaokreću
naprsnuti;naprsnuh;naprsnu;naprsnu;naprsnusmo;naprsnuste;naprsnuše
oteći;otekoh;oteke;oteče;otekosmo;otecite;oteku
zagristi;zagrizoh;zagrizi;zagrize;zagrizosmo;zagrizoste;zagrizu
rinuti;rinuh;rinjaše;neka rine;rinusmo;rinite;neka rinu
napasti;napadoh;napadneš;napase;napadosmo;napadnite;napadoše
namrijeti;namrijeh;namrije;namrije;namrimo;namrite;namru
kosnuti;kosnuh;kosnu;kosnu;kosnusmo;kosnuste;kosnuše
upregnuti;upregoh;upreže;upreže;upregosmo;upregoste;upregoše
izdizati;izdizah;izdizaše;izdizaše;izdizasmo;izdižite;izdizahu
strugati;stružem;struži;struže;stružimo;stružite;stružu
potaći;potaknem;potače;potače;-;-;potakoše
prostrti;prostrh;prostri;prostre;prostrsmo;prostrste;prostrše
nategnuti;nategoh;nateže;nateže;nategosmo;nategoste;nategoše
