nasukati;nasukan;nasukana;nasukano;nasukani;nasukane;nasukaju
odnijeti;odnijeh;odnesi;odnije;odnijesmo;odnijeste;odniješe
ponići;-;-;-;-;ponikli;-
zadisati;zadišem;zadiši;zadiše;zadišimo;zadišite;zadišu
pobrinuti;pobrino;pobrineš;pobrinuto;pobrinusmo;pobrinute;pobrinuta
ispeći;ispeknem;ispekni;ispekne;ispecimo;ispeknite;ispeknu
kresnuti;kresnut;kresnuta;kresnuto;kresnusmo;kresnute;kresnuše
zareći;zarečem;zarečeć;zareče;zarečemo;zarečete;zareknu
sprezati;sprežem;spreži;spreže;sprežimo;sprezana;sprežu
zavesti;zavedoh;zaveze;zaveze;zavedosmo;zavedoste;zavedu
frknuti;frknuh;frknu;frknu;frknusmo;frknuste;frknuše
zakrenuti;zakrenuh;zakreni;zakrenu;zakrenusmo;zakrenite;zakrenuše
proticati;proticao;proticala;proticalo;proticali;proticale;protičući
prezreti;prezrem;prezri;prezre;prezrimo;prezrite;prezru
izgrepsti;izgrenen;izgrenena;izgreneno;izgreneni;izgrebena;izgrebu
pisati;pišem;pišeš;neka piše;pišimo;pišite;pisat
poreći;porekoh;poreknu;poreknu;porekosmo;porečena;poreku
otkazati;otkažem;otkaži;otkaže;otkažimo;otkažite;otkazat
gukati;gučem;gučeš;gukaše;gučemo;gučite;gukahu
prevrnuti;prevrnuh;prevrnu;prevrnu;prevrnusmo;prevrnuta;prevrnuše
uzmaći;uzmakem;uzmakla;uzmaklo;uzmakemo;uzmakle;neka uzmaknu
preokrenuti;preokrenuh;preokrenu;preokrenu;preokrenusmo;preokrenute;preokrenuše
sviknuti;svikoh;sviče;sviknu;svikosmo;svikoste;svikoše
njihati;njihan;njiši;njihano;njišimo;njihane;njihahu
podžeći;podžegnut;podžegnuta;podžegnuto;podžegnuti;podžegnute;podžegoše
zatući;zatučem;zatučena;zatučeno;zatučeni;zatučene;zatuku
pretegnuti;pretegoh;preteže;preteže;pretegosmo;pretegoste;pretegoše
zakinuti;zakinuh;zakini;zakinu;zakinusmo;zakinite;zakinuše
izricati;izricah;izricaše;izriče;izricasmo;izricana;izricahu
donesti;-;-;-;-;-;donest
strugnuti;strugnuh;strugnu;strugnu;strugnusmo;strugnuste;strugnuše
pobjeći;pobjegoh;pobježe;pobježe;pobjegosmo;pobjegoste;pobjegoše
dahnuti;dahnuh;dahnu;dahnu;dahnusmo;dahnuste;dahnuše
brinuti;brinvši;brinla;brinjaše;brinli;brinle;brinujući
preskakati;preskačem;preskakaše;preskače;preskakasmo;preskakana;preskakahu
načeti;načeh;načni;nače;načnimo;načnite;načeše
otisnuti;otiskoh;otisneš;otište;otisnimo;otisnute;otiskoše
briznuti;briznuh;briznu;briznu;briznusmo;briznuste;briznuše
klokotati;klokotah;klokotala;neka klokoće;klokotali;klokotale;klokoćući
trepnuti;trepnuh;trepnu;trepnu;trepnusmo;trepnuste;trepnuše
otići;otiđoh;otiđeš;otiđe;otiđemo;odošte;otiđoše
natjecati;natječem;natječeš;natjecaše;natječemo;natječite;natječući
kimnuti;kimnuh;kimneš;kimte;kimnusmo;kimnule;kimnuše
prenuti;prenem;preneš;prene;prenusmo;prenite;prenuše
otići;otiđoh;otiđeš;otiđe;otiđemo;odošte;otiđoše
rasuti;rasuh;-;raspe;-;raspete;rasuše
zeznuti;zeznuvši;zeznula;zeznuto;zeznusmo;zeznule;zeznu
usuti;usuh;usu;usu;ususmo;usute;usuše
raspasti;raspadoh;raspadni;raspadne;raspadosmo;raspadoste;raspast
smoći;smogoh;smože;smože;smogosmo;smogoste;smogoše
izvirati;izvirem;izviri;izvire;izvirimo;izvirući;izvirajući
sijevnuti;sijevnuh;sijevnu;sijevnu;sijevnusmo;sijevnuste;sijevnuše
ujesti;ujedoh;ujedi;ujede;ujedosmo;ujedena;ujedu
protresti;protresoh;protresi;protrese;protresosmo;protresena;protresu
zatresti;zatresavši;zatresena;zatreseno;zatreseni;zatresene;zatresoše
rastrgnuti;rastrgoh;rastrže;rastrže;rastrgosmo;rastrgnute;rastrgoše
okliznuti;okliznuh;okliznu;okliznu;okliznusmo;okliznuste;okliznuše
strti;strh;stri;stre;strsmo;strvena;stru
presjesti;presjedoh;presjedni;presjedne;presjedosmo;presjedoste;presjedoše
ponirati;ponirem;poniri;ponire;ponirimo;ponirite;poniru
laptati;lapćem;lapćeš;lapće;laptasmo;lapćite;lapćući
zgranuti;zgranuvši;zgraneš;zgranuto;zgranuli;zgranute;zgranuše
nizati;nizan;nizana;nizano;nizani;nizane;nizahu
užasnuti;užasnuh;užasnu;užasnu;užasnusmo;užasnuste;užasnuše
prebrinuti;prebrinuh;prebrinu;prebrinu;prebrinusmo;prebrinuste;prebrinuše
skakati;skačem;skačeš;skače;skakasmo;skačete;skakahu
odsjesti;odsjeso;odsjesla;odsjeslo;odsjesli;odsjesle;odsjedoše
planuti;planuh;plani;plane;planusmo;planuste;planuše
povesti;povedoh;povezi;poveze;povezemo;povezena;povezoše
omesti;omevši;ometena;ometeno;ometeni;ometene;ometu
oprati;operem;opereš;opra;oprasmo;opraste;oprat
ožeći;ožežen;ožežena;ožeženo;ožeženi;ožežene;ožegu
segnuti;segnuvši;segneš;segnulo;segunli;segnite;neka segnu
ući;-;-;-;-;-;-
lupnuti;lupnut;lupnuta;lupnuto;lupnuli;lupnute;neka lupnu
nadvikati;nadvikan;nadvikana;nadvikano;nadvikani;nadvikane;nadviču
zaokretati;zaokretan;zaokretana;zaokretana;zaokretani;zaokretana;zaokrećući
naprsnuti;naprsnut;naprsnuta;naprsnuto;naprsnusmo;naprsnute;naprsnuše
oteći;otekoh;otečena;otečeno;otekosmo;otečene;oteku
zagristi;zagrizoh;zagrizi;zagrize;zagrizosmo;zagrizoste;zagrizu
rinuti;rinuvši;rinuta;rinuto;rinusmo;rinute;rinući
napasti;napavši;napadnuta;napadnuto;napadnuti;napadnute;napadoše
namrijeti;namrijeh;namrije;namrije;namrimo;namrite;namru
kosnuti;kosnuh;kosnu;kosnu;kosnusmo;kosnuste;kosnuše
upregnuti;upregoh;upreže;upreže;upregosmo;upregoste;upregoše
izdizati;izdizan;izdizana;izdizano;izdizani;izdizane;izdižući
strugati;stružem;struži;struže;stružimo;strugana;stružu
potaći;potaknem;potače;potače;-;potaknuta;potakoše
prostrti;prostrh;prostri;prostre;prostrsmo;prostrvene;prostrše
nategnuti;nategoh;nateže;nateže;nategosmo;nategoste;nategoše
odjeknuti;odjeknuh;odjeknu;odjeknu;odjeknusmo;odjeknuste;odjeknuše
napasti;napavši;napadnuta;napadnuto;napadnuti;napadnute;napadoše
urezati;urežem;ureži;ureže;urežimo;urežite;urezat
maći;makavši;maknuta;maknuto;makosmo;maknute;makoše
uvrći;uvrgoh;uvrći;uvrže;uvrgosmo;uvrgnute;uvrgoše
vrći;vrgoh;vrže;vrže;vrgosmo;vrgnute;vrgoše
zapasati;zapasavši;zapasana;zapasana;zapasani;zapasana;zapasana
prosinuti;prosinuh;prosinu;prosinu;prosinusmo;prosinuste;prosinuše
prislušnuti;prislušnuvši;prislušnula;prislušnuo;prislušnuli;prislušnule;prislušnuše
pokleknuti;pokleknuh;poklekni;pokleknu;pokleknusmo;pokleknite;pokleknut
zatezati;zatezan;zatezana;zatezano;zatezani;zatezane;zatežu
proplesti;propletoh;propleti;proplete;propletosmo;propletoste;propletu
nabirati;nabiran;nabirana;nabirano;nabirani;nabirane;nabiraući
zagrepsti;zagreboh;zagrebi;zagrebe;zagrebosmo;zagrebena;zagreboše
otpuhnuti;otpuhnut;otpuhnuta;otpuhnuto;otpuhnusmo;otpuhnute;otpuhnuše
oteti;oteh;otmeš;otme;otesmo;otmete;otmu
oplakati;oplačem;oplači;oplakano;oplačimo;oplakane;oplaču
zviznuti;zviznut;zviznuta;zviznuto;zviznusmo;zviznute;zviznuše
istrunuti;istrunut;istrunuta;istrunuto;istrunusmo;istrunute;istrunuše
podastirati;podastiran;podastirana;podastirano;podastirani;podastirane;podastirući
jahati;jahan;jahana;jahano;jahani;jahane;jašu
zapuhati;zapuhah;zapuši;zapuše;zapušimo;zapušite;zapuhat
odvagati;odvagan;odvagana;odvagano;odvagani;odvagane;odvažu
prokazati;prokažem;prokaži;prokaže;prokažimo;prokazana;prokažu
uvući;uvukoh;uvučeš;uvuče;uvucimo;uvucite;uvuku
doći;dođoh;dođeš;dođe;dođimo;došli;dođoše
pronijeti;pronijeh;pronije;pronije;pronijesmo;pronesena;proniješe
živahnuti;živahnuvši;živahnula;živahnulo;živahnuli;živahnule;živahnuše
zavezati;zavezah;zavežeš;zaveže;zavežimo;zavezaste;zavezat
odvući;odvukavši;odvučena;odvučeno;odvučeni;odvučene;odvukoše
kidnuti;kidnuvši;kidnula;kidnulo;kidnuli;kidnule;neka kidnu
odrati;odravši;odrana;odrano;odrani;odrane;neka odru
ogrepsti;ogrebavši;ogreblo;ogreblo;ogrebli;ogreblo;ogreblo
poskliznuti;poskliznuh;posklizni;poskliznu;poskliznusmo;poskliznite;poskliznuše
plahnuti;plahnuvši;plahnuta;plahnuto;plahnuli;plahnute;plahnuše
reći;rečem;rečeć;reče;rečemo;rečete;reku
namazati;namažem;namaži;namaže;namažimo;namažite;namažu
promrznuti;promrznuh;promrznu;promrznu;promrznusmo;promrznuta;promrznuše
uspeti;uspnem;uspni;uspne;uspnimo;uspeta;uspnu
odvrnuti;odvrnut;odvrneš;odvrnuto;odvrnimo;odvrnute;odvrnuše
grgotati;grgotao;grgotaše;grgotalo;grgotali;grgotale;grgoćući
podviknuti;podviknuh;podviknu;podviknu;podviknusmo;podviknuste;podviknuše
nasrtati;nasrćem;nasrćeš;nasrtaše;nasrćemo;nasrćite;nasrćući
isplesti;ispletoh;ispleti;isplete;ispletosmo;ispletoste;ispletu
prozreti;prozrem;prozri;prozre;prozrimo;prozrite;prozru
opirati;opirem;opiri;opire;opirimo;opirite;opiru
pomoći;pomogoh;pomože;pomože;pomozimo;pomozite;pomogoše
nadjenuti;nadjenuh;nadjenuta;nadjenuto;nadjenusmo;nadjenute;nadjenuše
razrezati;razrežem;razreži;razreže;razrežimo;razrežite;razrezat
kliktati;klikćem;klikćeš;kliće;klikćemo;klikćite;klikću
istiskati;istiskan;istiskana;istiskano;istiskani;istiskane;istišćući
razgrnuti;razgrnuh;razgrnu;razgrnu;razgrnusmo;razgrnute;razgrnuše
slagati;slagah;slaži;slagaše;slažimo;slagane;slagaše
orisati;orisan;orisana;orisano;orisani;orisane;orišu
potrti;potrh;potri;potre;potrsmo;potrvena;potrše
zbrisati;zbrišem;zbriši;zbriše;zbrišimo;zbrišite;zbrisat
ispresti;ispreden;ispredena;ispredeno;ispredeni;ispredene;ispredu
šmugnuti;šmugnuh;šmugnu;šmugnu;šmugnusmo;šmugnuste;šmugnuše
sastati;sastanem;sasta;sastajne;sastasmo;sastadoste;sastaše
hihotati;kikoćem;kikoćeš;kikoći;kikoćimo;kikoćite;kikoćući
namignuti;namignuh;namignla;namignu;namignusmo;namignuste;namignuše
klicati;kličem;kličeš;kliče;kličimo;kličete;kliču
pomazati;pomažem;pomaži;pomaže;pomažimo;pomažite;pomazat
istjecati;istječem;istječeš;istjecaše;istječemo;istječite;istječući
podvesti;podveden;podvedena;podvedeno;podvedeni;podvedene;podvezu
obirati;obiran;obirana;obirati;obirani;obirane;obirući
zasrati;zasravši;zasrana;zasrana;zasrani;zasrana;zasrana
izostati;izostah;izosta;izosta;izostasmo;izostaste;izostaše
oduzeti;oduzevši;oduzmi;oduze;oduzesmo;oduzele;oduzeše
klepetati;klepećem;klepećeš;klepeće;klepećemo;klepećite;klepetahu
kleti;klet;kunijaše;kunijaše;kunimo;kunite;kunijahu
ispuknuti;ispuknut;ispuknuta;ispuknuto;ispuknusmo;ispuknute;ispuknuše
ogrtati;ogrtan;ogrtana;ogrtano;ogrtani;ogrtane;ogrćući
natuknuti;natuknut;natuknuta;natuknuto;natuknusmo;natuknute;natuknuše
prosuti;prosuh;prosu;prosu;prosusmo;prosuta;prospu
opuznuti;opuznuh;opuznu;opuznu;opuznusmo;opuznuste;opuznuše
steći;stečem;stečeć;steče;stečemo;stečete;steći
crpsti;crpijah;crpijaše;crpijaše;crpimo;crpene;crpu
pobosti;pobovši;pobodena;pobodeno;poboli;pobodene;pobodoše
isprevrtati;isprevrtan;isprevrtana;isprevrtano;isprevrtani;isprevrtane;isprevrćući
odmaknuti;odmaknuh;odmakneš;odmaknulo;odmaknimo;odmaknule;odmakoše
navući;navukoh;navuci;navuče;navucimo;navukoste;navući
izlizati;izlizah;izliži;izliza;izližimo;izližite;izlizaše
lagati;lažem;lažeš;lagaše;lažimo;lažite;lažu
grunuti;grunuh;grunu;grunu;grunusmo;grunuste;grunuše
zamrijeti;zamrijeh;zamrije;zamrije;zamrimo;zamrite;zamru
zalijegati;zalijegao;zalijegala;zalijegala;zalijegali;zalijegala;zaliježući
zbrinuti;zbrinuh;zbrini;zbrinu;zbrinusmo;zbrinite;zbrinuše
zgrnuti;zgrnuh;zgrnuta;zgrnuto;zgrnusmo;zgrnute;zgrnuše
zatisnuti;zatisnuh;zatisnu;zatisnu;zatisnusmo;zatisnuste;zatisnuše
zamuknuti;zamukoh;zamukni;zamukne;zamuknusmo;zamuknuste;zamukoše
ponarasti;ponarastavši;ponarasti;ponaraste;ponarastosmo;ponarastite;ponarastu
mazati;mazah;mazaše;maže;mažimo;mazale;mazahu
iskakati;iskačem;iskačeš;iskakaše;iskačemo;iskačite;iskačući
rastegnuti;rastegoh;rastegnu;rastegnu;rastegosmo;rastegoste;rastegoše
odmahnuti;odmahnuh;odmahnu;odmahnu;odmahnusmo;odmahnuste;odmahnuše
udisati;udišem;udiši;udiše;udišimo;udišite;udišu
iskliznuti;iskliznut;iskliznuta;iskliznuto;iskliznusmo;iskliznute;iskliznuše
lipsati;lipsam;lipsaš;lipsa;lipsamo;lipsate;lipšu
izbjegnuti;izbjegnuh;-;-;izbjegnusmo;izbjegnuste;izbjegnuše
šišnuti;šišnem;šišni;šišne;šišnimo;šišnuta;šišnu
griznuti;griznuh;griže;griže;griznusmo;griznuta;griznuše
prorezati;prorežem;proreži;proreže;prorežimo;prorežite;prorežu
zakukurijekati;zakukurijekavši;zakukurijekala;zakukurijekala;zakukurijekali;zakukurijekala;zakukurijekala
sažeći;sažegavši;sažežena;sažeženo;sažeženi;sažegnuta;neka sažegu
stvrdnuti;stvrdnuh;stvrdnu;stvrdnu;stvrdnusmo;stvrdnuta;stvrdnuše
izrasti;izrastoh;izrasteš;izraste;izrastimo;izrastite;izrastoše
pecnuti;pecnuvši;pecni;pecnuto;pecnimo;pecnute;pecnuše
ispreskakati;ispreskakan;ispreskakana;ispreskakano;ispreskakani;ispreskakane;ispreskaču
istresti;istresoh;istresena;istreseno;istreseni;istresene;istresu
zataknuti;zataknuh;zatakneš;zatače;zataknimo;zataknuste;zataknuše
zapregnuti;zapregoh;zapregni;zapregnu;zapregosmo;zapregnite;zapregoše
izginuti;izginuh;izginu;izginu;izginusmo;izginuste;izginuše
bocnuti;bocnuvši;bocnute;bocnuto;bocnusmo;bocnule;bocnuta
zarasti;zarastoh;zarasteš;zaraste;zarastosmo;zarastite;zarast
dati;dadoh;dadneš;dadne;damo;date;dadu
protegnuti;protegoh;protegnu;protegnu;protegosmo;protegoste;protegoše
ispuhati;ispuhan;ispuhana;ispuhano;ispušimo;ispuhane;ispuhaše
ugristi;ugrizoh;ugrizeš;ugrize;ugrizosmo;ugrizena;ugrizu
stizati;stizah;stiži;stizaše;stižimo;stižite;stizahu
začeti;začnem;zače;začne;-;začeste;začeše
navesti;navezoh;navezeno;naveze;navezosmo;navezene;navest
žmignuti;žmignuh;žmignu;žmignu;žmignusmo;žmignuste;žmignuše
presti;predijah;predi;predijaše;predimo;predite;prest
dokazati;dokazujem;dokazuješ;dokazuj;dokazujemo;dokazujmo;dokazajući
satrti;satrh;satr;satre;satrsmo;satrste;satrše
dopasti;dopavši;dopadneš;dopadne;dopadosmo;dopadnite;dopadoše
navesti;navezoh;navezeno;naveze;navezosmo;navezene;navest
razastirati;razastiran;razastirana;razastirano;razastirani;razastirane;neka razastiru
kresati;kresan;kresana;kresano;kresani;kresane;krešu
stinuti;stinuh;stinu;stinu;stinusmo;stinuta;stinuše
izbosti;izboo;izbodi;izbode;izbodosmo;izbodoste;izbodu
prigrnuti;prigrnuh;prigrnu;prigrnu;prigrnusmo;prigrnuta;prigrnuše
poduprijeti;poduprijeh;poduprijeta;poduprijeto;poduprimo;poduprte;podupru
žeći;žežen;žežeš;žezijaše;žeženi;žežene;žegući
zadjenuti;zadjenuh;zadjenu;zadjenu;zadjenusmo;zadjenuta;zadjenuše
mrdnuti;mrdnuvši;mrdnula;mrdnulo;mrdnuli;mrdnule;mrdnuše
odvrtati;odvrtan;odvrtana;odvrtano;odvrtani;odvrtane;neka odvrću
progristi;progrizoh;progrizi;progrize;progrizosmo;progrizena;progrizu
zavinuti;zavinuh;zavinu;zavinu;zavinusmo;zavinute;zavinuše
rasplinuti;rasplinuh;rasplinu;rasplinu;rasplinusmo;rasplinuste;rasplinuše
pobirati;pobiran;pobirana;pobirano;pobirani;pobirane;pobirući
prekinuti;prekinuh;prekinu;prekinu;prekinusmo;prekinuste;prekinuše
zalijetati;zalijećem;zalijeći;zalijeće;zalijećimo;zalijećite;zalijeću
upiknuti;upiknuvši;upiknula;upiknulo;upiknuli;upiknule;neka upiknu
uvrnuti;uvrnuh;uvrnu;uvrnu;uvrnusmo;uvrnuste;uvrnuše
plesati;plešem;pleši;pleše;plešimo;plešite;plesahu
ukresati;ukrešem;ukreši;ukreše;ukrešimo;ukresana;ukrešu
izrezati;izrežem;izreži;izreže;izrežimo;izrežite;izrežu
živnuti;živnuvši;živni;živne;živnusmo;živnuste;živnla
odgurnuti;odgurnut;odgurnuta;odgurnuto;odgurnusmo;odgurnute;odgurnuše
jaukati;jaučem;jaučeš;jauče;jaučemo;jaučete;jauču
osmjehnuti;osmjehnuh;osmjehnu;osmjehnu;osmjehnusmo;osmjehnuste;osmjehnuše
razderati;razderem;razderi;razdere;razderimo;razderite;razderat
odlagati;odlagan;odlagana;odlagano;odlagani;odlagane;odlažu
pridignuti;pridigoh;pridiže;pridiže;pridigosmo;pridignute;pridigoše
odazvati;odazvan;odazvana;odazvano;odazvani;odazvane;odazvu
započeti;započeh;započni;započne;započnimo;započnite;započnu
ispasti;ispadoh;ispadni;ispadne;ispadosmo;ispadoste;ispast
odgrtati;odgrtan;odgrtana;odgrtano;odgrtani;odgrtane;odgrćući
svezati;svežem;sveži;sveže;svežimo;svežite;svežu
prevesti;prevezoh;prevezeš;prevede;prevezimo;prevezene;prevezoše
odmetati;odmetan;odmetana;odmetano;odmetani;odmetane;odmećući
svesti;svedoh;svedi;svede;svedosmo;svezena;svedu
sustegnuti;sustegnut;sustegnute;sustegnuto;sustegnuli;sustegnule;sustegnuta
napuhati;napuhavši;napuhala;napuhano;napuhani;napuhane;napuhaše
poodmicati;poodmican;poodmicana;poodmicano;poodmicani;poodmicane;poodmičući
namirisati;namirisah;namirišeš;namirisa;namirišimo;namirišite;namirisaše
zaiskati;zaištem;zaišti;zaište;zaištimo;zaiskana;zaištu
početi;počnem;počneš;poče;počesmo;počeste;počnu
njakati;njačem;njači;njače;njačimo;njačite;njačući
gasnuti;gasnuvši;gašnjaše;gašnjaše;gasnusmo;gasnuste;gasnuše
odupirati;odupirem;odupiri;odupire;odupirimo;odupirite;odupirući
odmagati;odmažem;odmaži;odmaže;odmažimo;odmažite;odmažući
uzjahati;uzjašem;uzjaši;uzjaši;uzjašimo;uzjahane;uzjašu
piknuti;piknuvši;pikni;piknuto;piknimo;piknute;piknuše
natući;natukoh;natuci;natuče;natucimo;natucite;natući
namakati;namakan;namakana;namakano;namakani;namakane;namačući
protrti;protrh;protri;protre;protrsmo;protrvena;protrše
izbrati;izbran;izbrana;izbrano;izbrani;izbrane;izbraše
izmesti;izmeten;izmetena;izmeteno;izmeteni;izmetene;izmetu
uzavirati;uzaviran;uzavirana;uzavirano;uzavirani;uzavirane;uzavirući
bojadisati;bojadisan;bojadisala;bojadisalo;bojadisali;bojadisale;bojadišući
lijegati;lijegah;lijegaše;neka liježe;lijegasmo;lijegale;neka liježu
promuknuti;promukoh;promuknu;promuče;promukosmo;promuknuta;promukoše
mignuti;mignut;mignuta;mignuto;migosmo;mignute;migoše
oronuti;oronuh;oroni;oronu;oronusmo;oronuste;oronuše
ureći;urečem;urečeš;ureče;urečemo;urečete;ureći
kihati;kišem;kišeš;kihaše;kišimo;kišite;kišući
prebirati;prebirem;prebiri;prebire;prebirimo;prebirana;prebiru
naići;naišo;naiđeš;naiđe;naiđemo;naiđite;naiđoše
pokisnuti;pokisnuh;pokisni;pokisnu;pokisnusmo;pokisnite;pokisnuše
izderati;izderah;izderi;izdera;izderimo;izderite;izderaše
uminuti;uminuh;uminu;uminu;uminusmo;uminuste;uminuše
zaurlikati;zaurlikavši;zaurlikala;zaurlikalo;zaurlikali;zaurlikale;neka zaurliču
zalagati;zalagah;zalaži;zalaže;zalažimo;zalažite;zalažu
oticati;oticao;oticala;oticalo;oticali;otičite;otičući
zaorati;zaoran;zaoreš;zaorano;zaorani;zaorane;zaoru
ulagati;ulažem;-;ulagaše;ulažemo;ulagana;ulažu
zahliknuti;zahliknuh;zahliknu;zahliknu;zahliknusmo;zahliknuste;zahliknuše
odustati;odustanem;odusta;odusta;odustanimo;odustanite;odustaše
izmicati;izmican;izmicana;izmicano;izmicani;izmicane;izmicahu
navirati;navirem;naviri;naviraše;navirimo;navirite;navirahu
raspući;raspukoh;raspuče;raspuče;raspukosmo;raspuknuto;raspukoše
gurnuti;gurnuh;gurnuta;gurnuto;gurnimo;gurnute;gurnuše
oglodati;oglođem;oglođi;oglođe;oglođimo;oglođite;oglodat
zamirisati;zamirišem;zamiriši;zamiriše;zamirišimo;zamirišite;zamirišu
dati;dadoh;dadneš;dadne;damo;date;dadu
dirnuti;dirnem;dirnu;dirnu;-;dirnite;dirnu
klevetati;klevećem;klevećeš;kleveće;klevećemo;klevećite;klevećući
obazirati;obaziram;obaziraš;obazira;obaziramo;obazirate;obaziraju
zabrinuti;zabrinem;zabrinu;zabrinu;-;-;zabrinuše
štropotati;štropotao;štropotaše;štropotalo;štropotali;štropotaste;štropotajući
zveknuti;zveknut;zveknuta;zveknuto;zveknusmo;zveknute;zveknuše
otplesti;otpletavši;otpletena;otpleteno;otpleteni;otpletene;neka otpletu
uzeti;uzmem;uzmeš;uzme;uzmimo;uzmite;uzeše
vezati;vežem;veži;vezaše;-;vežete;vezahu
disati;dišem;diši;disaše;dišimo;dišite;dišu
svući;svučem;svučeš;svuče;svučemo;svučete;svuku
podsjeći;podsječen;podsjeke;podsječeno;podsječeni;podsječene;podsjekoše
strgnuti;strgoh;strže;strže;strgosmo;strgnute;strgoše
osluhnuti;osluhnut;osluhnuta;osluhnuto;osluhnusmo;osluhnute;osluhnuše
izvesti;izvezoh;izvezi;izveze;izvezosmo;izvezoste;izvest
oskvrnuti;oskvrnuh;oskvrnu;oskvrnu;oskvrnusmo;oskvrnute;oskvrnuše
otezati;otezah;oteži;oteže;otežimo;otežete;otežu
prozvati;prozvah;prozovi;prozva;prozvasmo;prozvaste;prozvat
odrasti;odrastoh;odrasteš;odraste;odrastosmo;odrastoste;odrast
sustati;sustah;sustani;sustane;sustanimo;sustanite;sustaše
zatamnjivati;zatamnjivan;zatamnjivana;zatamnjivano;zatamnjivani;zatamnjivane;zatamnjujući
ispisati;ispišem;ispišeš;ispisa;ispišimo;ispisaste;ispišu
sustezati;sustezan;sustezana;sustezano;sustezani;sustezane;sustežući
uvinuti;uvinuh;uvinu;uvinu;uvinusmo;uvinute;uvinuše
pobrati;pobran;pobrana;pobrano;pobrasmo;pobrane;poberu
žvakati;žvakan;žvakana;žvakano;žvakani;žvakane;žvaču
iskretati;iskretan;iskretana;iskretano;iskretani;iskretane;iskrećući
raspregnuti;raspregoh;raspreže;raspreže;raspregosmo;raspregnuta;raspregoše
posezati;posezao;posezala;posezala;posezali;posezala;posežući
najahati;najahavši;najahala;najahalo;najašimo;najahale;najahaše
proricati;proričem;proriči;proriče;proricasmo;proricana;proriču
kretati;kretah;kretaše;kretaše;kretasmo;krećite;kretahu
razabirati;razabirah;razabireš;razabiraše;-;razabirana;razabiru
zaći;zađem;zađi;zađe;zađimo;zađite;zađoše
snijeti;snijeh;snije;snije;snijesmo;snesena;sniješe
zamesti;zametem;zameti;-;zametimo;zametite;zamest
fijukati;fijukao;fijukaše;fijukalo;fijukali;fijukale;neka fijuču
risati;risan;riši;riše;rišimo;risana;rišu
napregnuti;napregoh;napregni;napregnnuto;napregnimo;napregnuto;napregoše
nadizati;nadizan;nadizana;nadizano;nadizani;nadizane;nadizahu
zarezati;zarežem;zarežeš;zareže;zarežemo;zarežete;zarezat
zarzati;zaržem;zarži;zarže;zaržimo;zaržite;zaržu
odvesti;odvežen;odvezena;odvezeno;odvedimo;odvedoste;odvest
smagati;smažem;smaži;smagaše;smažimo;smagala;smažu
žvaknuti;žvaknut;žvaknuta;žvaknuto;žvaknusmo;žvaknute;žvaknuše
zametnuti;zametnuh;zametneš;zametnu;zametnimo;zametnite;zametnuše
opasati;opašem;opašeš;opaše;opašimo;opasaste;opašu
svenuti;svenuh;svenu;svenu;svenusmo;svenuste;svenuše
zasuti;zasuh;zasu;zasu;zasusmo;zasuste;zaspe
zaplesati;zaplesah;zapleši;zapleše;zaplešimo;zaplešite;zaplešu
zapuhnuti;zapuhnuh;zapuhni;zapuhnu;zapuhnusmo;zapuhnite;zapuhnuše
zakukurikati;zakukuričem;zakukuriči;zakukuriče;zakukuričimo;zakukuričite;zakukurikat
kazati;kazah;kaži;kaza;kažimo;kažite;kazat
lecnuti;lecnuh;lecnu;lecnu;lecnusmo;lecnuta;lecnuše
omaknuti;omaknut;omaknuta;omače;omakosmo;omaknute;omakoše
isteći;istečen;istečena;istečeno;istečeni;istečene;istekoše
uganuti;uganuh;uganu;uganu;uganusmo;uganuta;uganuše
jurnuti;jurnuvši;jurnula;neka jurne;jurnusmo;jurnuste;neka jurnu
zaklopotati;zaklopoćem;zaklopoći;zaklopoće;zaklopoćimo;zaklopoćite;zaklopoću
zvrcnuti;zvrcnut;zvrcnuta;zvrcnuto;zvrcnusmo;zvrcnute;zvrcnuše
prikazati;prikažem;prikaži;prikaza;prikažimo;prikažite;prikažu
gutnuti;gutnut;gutnuta;gutnuto;gutnusmo;gutnute;gutnuše
popiknuti;popiknuh;popikni;popiknu;popiknusmo;popiknite;popiknuše
pomesti;pomevši;pometi;pomete;pometimo;pometite;pomest
uginuti;uginuh;uginu;uginu;uginusmo;uginuste;uginuše
plakati;plakah;plačeš;plakaše;plačimo;plačite;plakahu
jesti;jedijah;jedi;jedijaše;jedijasmo;jedijaste;jedijahu
sresti;sretoh;sretni;srete;sretosmo;sretoste;sretoše
omrznuti;omrznuh;omrznuta;omrznuto;omrznusmo;omrznute;omrznmena
ponijeti;ponijmevši;ponesi;ponese;ponijesmo;ponesit;ponesu
zaostati;zaostadem;zaostani;zaostade;zaostanimo;zaostadete;zaostadu
iskati;išćem;išćeš;išće;išćimo;išćite;išću
trnuti;trnem;trnula;trne;trnimo;trnući;trnuše
podvući;podvukoh;podvuci;podvučeno;podvucimo;podvukavši;podvukoše
istaći;istakavši;istakni;istače;istaknimo;istaknete;istaku
nažderati;nažderavši;nažderana;nažderano;nažderani;nažderane;nažderaše
klesati;klesan;kleši;kleše;klesani;klešite;klešući
vagati;važem;važeš;važe;važimo;važite;važu
premazati;premažem;premaži;premaže;premažimo;premažite;premažu
ginuti;ginjah;ginjaše;gine;ginjasmo;ginule;ginući
