nasukati;nasukam;nasukaš;nasuka;nasukamo;nasukate;nasukaju
razbistrivati;razbistrivam;razbistrivaš;razbistriva;razbistrivamo;razbistrivate;razbistrivaju
izmožđivati;izmožđivam;izmožđivaš;izmožđiva;izmožđivamo;izmožđivate;izmožđivaju
ukovati;ukovam;ukovaš;ukova;ukovamo;ukovate;ukovaju
priželjkivati;priželjkivam;priželjkivaš;priželjkiva;priželjkivamo;priželjkivate;priželjkivaju
bogovati;bogovam;bogovaš;bogova;bogovamo;bogovate;bogovaju
uprihodovati;uprihodovam;uprihodovaš;uprihodova;uprihodovamo;uprihodovate;uprihodovaju
zamašćivati;zamašćivam;zamašćivaš;zamašćiva;zamašćivamo;zamašćivate;zamašćivaju
robovati;robovam;robovaš;robova;robovamo;robovate;robovaju
urednikovati;urednikovam;urednikovaš;urednikova;urednikovamo;urednikovate;urednikovaju
preklinjati;preklinjam;preklinjaš;preklinja;preklinjamo;preklinjate;preklinjaju
podjeljivati;podjeljivam;podjeljivaš;podjeljiva;podjeljivamo;podjeljivate;podjeljivaju
provaljivati;provaljivam;provaljivaš;provaljiva;provaljivamo;provaljivate;provaljivaju
poistovjećivati;poistovjećivam;poistovjećivaš;poistovjećiva;poistovjećivamo;poistovjećivate;poistovjećivaju
uredovati;uredovam;uredovaš;uredova;uredovamo;uredovate;uredovaju
ispiti;ispim;ispiš;ispi;ispimo;ispite;ispe
ostvarivati;ostvarivam;ostvarivaš;ostvariva;ostvarivamo;ostvarivate;ostvarivaju
poradovati;poradovam;poradovaš;poradova;poradovamo;poradovate;poradovaju
propuhivati;propuhivam;propuhivaš;propuhiva;propuhivamo;propuhivate;propuhivaju
izviti;izvim;izviš;izvi;izvimo;izvite;izve
dospjeti;dospjmem;dospjmeš;dospjme;dospjmemo;dospjmete;dospjmu
poružnjivati;poružnjivam;poružnjivaš;poružnjiva;poružnjivamo;poružnjivate;poružnjivaju
naslađivati;naslađivam;naslađivaš;naslađiva;naslađivamo;naslađivate;naslađivaju
odnjegovati;odnjegovam;odnjegovaš;odnjegova;odnjegovamo;odnjegovate;odnjegovaju
dugovati;dugovam;dugovaš;dugova;dugovamo;dugovate;dugovaju
kriti;krim;kriš;kri;krimo;krite;kre
strovaljivati;strovaljivam;strovaljivaš;strovaljiva;strovaljivamo;strovaljivate;strovaljivaju
oduživati;oduživam;oduživaš;oduživa;oduživamo;oduživate;oduživaju
izglasovati;izglasovam;izglasovaš;izglasova;izglasovamo;izglasovate;izglasovaju
određivati;određivam;određivaš;određiva;određivamo;određivate;određivaju
nadvisivati;nadvisivam;nadvisivaš;nadvisiva;nadvisivamo;nadvisivate;nadvisivaju
izdavati;izdavam;izdavaš;izdava;izdavamo;izdavate;izdavaju
pročišćivati;pročišćivam;pročišćivaš;pročišćiva;pročišćivamo;pročišćivate;pročišćivaju
liti;lim;liš;li;limo;lite;le
odjavljivati;odjavljivam;odjavljivaš;odjavljiva;odjavljivamo;odjavljivate;odjavljivaju
djelovati;djelovam;djelovaš;djelova;djelovamo;djelovate;djelovaju
piti;pim;piš;pi;pimo;pite;pe
prilagođivati;prilagođivam;prilagođivaš;prilagođiva;prilagođivamo;prilagođivate;prilagođivaju
požurivati;požurivam;požurivaš;požuriva;požurivamo;požurivate;požurivaju
uljepljivati;uljepljivam;uljepljivaš;uljepljiva;uljepljivamo;uljepljivate;uljepljivaju
ispitkivati;ispitkivam;ispitkivaš;ispitkiva;ispitkivamo;ispitkivate;ispitkivaju
procjenjivati;procjenjivam;procjenjivaš;procjenjiva;procjenjivamo;procjenjivate;procjenjivaju
zaklati;zaklam;zaklaš;zakla;zaklamo;zaklate;zaklaju
hajati;hajam;hajaš;haja;hajamo;hajate;hajaju
primamljivati;primamljivam;primamljivaš;primamljiva;primamljivamo;primamljivate;primamljivaju
prohtjeti;prohtjmem;prohtjmeš;prohtjme;prohtjmemo;prohtjmete;prohtjmu
potrajati;potrajam;potrajaš;potraja;potrajamo;potrajate;potrajaju
štiti;štim;štiš;šti;štimo;štite;šte
razdjeljivati;razdjeljivam;razdjeljivaš;razdjeljiva;razdjeljivamo;razdjeljivate;razdjeljivaju
odvezivati;odvezivam;odvezivaš;odveziva;odvezivamo;odvezivate;odvezivaju
probdjeti;probdjmem;probdjmeš;probdjme;probdjmemo;probdjmete;probdjmu
kazivati;kazivam;kazivaš;kaziva;kazivamo;kazivate;kazivaju
bolovati;bolovam;bolovaš;bolova;bolovamo;bolovate;bolovaju
poručivati;poručivam;poručivaš;poručiva;poručivamo;poručivate;poručivaju
iskašljati;iskašljam;iskašljaš;iskašlja;iskašljamo;iskašljate;iskašljaju
posjedovati;posjedovam;posjedovaš;posjedova;posjedovamo;posjedovate;posjedovaju
prebiti;prebim;prebiš;prebi;prebimo;prebite;prebe
razbacivati;razbacivam;razbacivaš;razbaciva;razbacivamo;razbacivate;razbacivaju
sleđivati;sleđivam;sleđivaš;sleđiva;sleđivamo;sleđivate;sleđivaju
postajati;postajam;postajaš;postaja;postajamo;postajate;postajaju
sakriti;sakrim;sakriš;sakri;sakrimo;sakrite;sakre
plandovati;plandovam;plandovaš;plandova;plandovamo;plandovate;plandovaju
olabavljivati;olabavljivam;olabavljivaš;olabavljiva;olabavljivamo;olabavljivate;olabavljivaju
stajati;stajam;stajaš;staja;stajamo;stajate;stajaju
oprašivati;oprašivam;oprašivaš;oprašiva;oprašivamo;oprašivate;oprašivaju
oplođivati;oplođivam;oplođivaš;oplođiva;oplođivamo;oplođivate;oplođivaju
izbacivati;izbacivam;izbacivaš;izbaciva;izbacivamo;izbacivate;izbacivaju
izgrađivati;izgrađivam;izgrađivaš;izgrađiva;izgrađivamo;izgrađivate;izgrađivaju
dodijati;dodijam;dodijaš;dodija;dodijamo;dodijate;dodijaju
bodovati;bodovam;bodovaš;bodova;bodovamo;bodovate;bodovaju
pobiti;pobim;pobiš;pobi;pobimo;pobite;pobe
preklati;preklam;preklaš;prekla;preklamo;preklate;preklaju
otkriti;otkrim;otkriš;otkri;otkrimo;otkrite;otkre
priviti;privim;priviš;privi;privimo;privite;prive
zamuckivati;zamuckivam;zamuckivaš;zamuckiva;zamuckivamo;zamuckivate;zamuckivaju
posramljivati;posramljivam;posramljivaš;posramljiva;posramljivamo;posramljivate;posramljivaju
nalikovati;nalikovam;nalikovaš;nalikova;nalikovamo;nalikovate;nalikovaju
pošumljivati;pošumljivam;pošumljivaš;pošumljiva;pošumljivamo;pošumljivate;pošumljivaju
napastovati;napastovam;napastovaš;napastova;napastovamo;napastovate;napastovaju
odjekivati;odjekivam;odjekivaš;odjekiva;odjekivamo;odjekivate;odjekivaju
zaprašivati;zaprašivam;zaprašivaš;zaprašiva;zaprašivamo;zaprašivate;zaprašivaju
zastrašivati;zastrašivam;zastrašivaš;zastrašiva;zastrašivamo;zastrašivate;zastrašivaju
nadoknađivati;nadoknađivam;nadoknađivaš;nadoknađiva;nadoknađivamo;nadoknađivate;nadoknađivaju
isključivati;isključivam;isključivaš;isključiva;isključivamo;isključivate;isključivaju
odlikovati;odlikovam;odlikovaš;odlikova;odlikovamo;odlikovate;odlikovaju
nastajati;nastajam;nastajaš;nastaja;nastajamo;nastajate;nastajaju
doznačivati;doznačivam;doznačivaš;doznačiva;doznačivamo;doznačivate;doznačivaju
prihranjivati;prihranjivam;prihranjivaš;prihranjiva;prihranjivamo;prihranjivate;prihranjivaju
izvješćivati;izvješćivam;izvješćivaš;izvješćiva;izvješćivamo;izvješćivate;izvješćivaju
čuti;čmem;čmeš;čme;čmemo;čmete;čmu
štovati;štovam;štovaš;štova;štovamo;štovate;štovaju
započinjati;započinjam;započinjaš;započinja;započinjamo;započinjate;započinjaju
prosvjedovati;prosvjedovam;prosvjedovaš;prosvjedova;prosvjedovamo;prosvjedovate;prosvjedovaju
zaglađivati;zaglađivam;zaglađivaš;zaglađiva;zaglađivamo;zaglađivate;zaglađivaju
popuhivati;popuhivam;popuhivaš;popuhiva;popuhivamo;popuhivate;popuhivaju
prevaljivati;prevaljivam;prevaljivaš;prevaljiva;prevaljivamo;prevaljivate;prevaljivaju
uspjeti;uspjmem;uspjmeš;uspjme;uspjmemo;uspjmete;uspjmu
zimovati;zimovam;zimovaš;zimova;zimovamo;zimovate;zimovaju
zaostajati;zaostajam;zaostajaš;zaostaja;zaostajamo;zaostajate;zaostajaju
osiromašivati;osiromašivam;osiromašivaš;osiromašiva;osiromašivamo;osiromašivate;osiromašivaju
stenjati;stenjam;stenjaš;stenja;stenjamo;stenjate;stenjaju
ohlađivati;ohlađivam;ohlađivaš;ohlađiva;ohlađivamo;ohlađivate;ohlađivaju
prisluškivati;prisluškivam;prisluškivaš;prisluškiva;prisluškivamo;prisluškivate;prisluškivaju
mirovati;mirovam;mirovaš;mirova;mirovamo;mirovate;mirovaju
smirivati;smirivam;smirivaš;smiriva;smirivamo;smirivate;smirivaju
trajati;trajam;trajaš;traja;trajamo;trajate;trajaju
ukalupljivati;ukalupljivam;ukalupljivaš;ukalupljiva;ukalupljivamo;ukalupljivate;ukalupljivaju
sasušivati;sasušivam;sasušivaš;sasušiva;sasušivamo;sasušivate;sasušivaju
razdruživati;razdruživam;razdruživaš;razdruživa;razdruživamo;razdruživate;razdruživaju
silovati;silovam;silovaš;silova;silovamo;silovate;silovaju
obeštećivati;obeštećivam;obeštećivaš;obeštećiva;obeštećivamo;obeštećivate;obeštećivaju
omeđivati;omeđivam;omeđivaš;omeđiva;omeđivamo;omeđivate;omeđivaju
preporučivati;preporučivam;preporučivaš;preporučiva;preporučivamo;preporučivate;preporučivaju
ljetovati;ljetovam;ljetovaš;ljetova;ljetovamo;ljetovate;ljetovaju
imenovati;imenovam;imenovaš;imenova;imenovamo;imenovate;imenovaju
požeti;požmem;požmeš;požme;požmemo;požmete;požmu
sparivati;sparivam;sparivaš;spariva;sparivamo;sparivate;sparivaju
istiskivati;istiskivam;istiskivaš;istiskiva;istiskivamo;istiskivate;istiskivaju
ulagivati;ulagivam;ulagivaš;ulagiva;ulagivamo;ulagivate;ulagivaju
osluškivati;osluškivam;osluškivaš;osluškiva;osluškivamo;osluškivate;osluškivaju
združivati;združivam;združivaš;združiva;združivamo;združivate;združivaju
isplaćivati;isplaćivam;isplaćivaš;isplaćiva;isplaćivamo;isplaćivate;isplaćivaju
osvješćivati;osvješćivam;osvješćivaš;osvješćiva;osvješćivamo;osvješćivate;osvješćivaju
linčovati;linčovam;linčovaš;linčova;linčovamo;linčovate;linčovaju
očekivati;očekivam;očekivaš;očekiva;očekivamo;očekivate;očekivaju
zalajati;zalajam;zalajaš;zalaja;zalajamo;zalajate;zalajaju
dobacivati;dobacivam;dobacivaš;dobaciva;dobacivamo;dobacivate;dobacivaju
izjavljivati;izjavljivam;izjavljivaš;izjavljiva;izjavljivamo;izjavljivate;izjavljivaju
proputovati;proputovam;proputovaš;proputova;proputovamo;proputovate;proputovaju
odmahivati;odmahivam;odmahivaš;odmahiva;odmahivamo;odmahivate;odmahivaju
očitovati;očitovam;očitovaš;očitova;očitovamo;očitovate;očitovaju
obiti;obim;obiš;obi;obimo;obite;obe
presaviti;presavim;presaviš;presavi;presavimo;presavite;presave
vjekovati;vjekovam;vjekovaš;vjekova;vjekovamo;vjekovate;vjekovaju
prijavljivati;prijavljivam;prijavljivaš;prijavljiva;prijavljivamo;prijavljivate;prijavljivaju
posustajati;posustajam;posustajaš;posustaja;posustajamo;posustajate;posustajaju
iziskivati;iziskivam;iziskivaš;iziskiva;iziskivamo;iziskivate;iziskivaju
izmudrovati;izmudrovam;izmudrovaš;izmudrova;izmudrovamo;izmudrovate;izmudrovaju
prekriti;prekrim;prekriš;prekri;prekrimo;prekrite;prekre
obaljivati;obaljivam;obaljivaš;obaljiva;obaljivamo;obaljivate;obaljivaju
iškolovati;iškolovam;iškolovaš;iškolova;iškolovamo;iškolovate;iškolovaju
izgladnjivati;izgladnjivam;izgladnjivaš;izgladnjiva;izgladnjivamo;izgladnjivate;izgladnjivaju
pojavljivati;pojavljivam;pojavljivaš;pojavljiva;pojavljivamo;pojavljivate;pojavljivaju
obmanjivati;obmanjivam;obmanjivaš;obmanjiva;obmanjivamo;obmanjivate;obmanjivaju
opisivati;opisivam;opisivaš;opisiva;opisivamo;opisivate;opisivaju
preobraćivati;preobraćivam;preobraćivaš;preobraćiva;preobraćivamo;preobraćivate;preobraćivaju
izglađivati;izglađivam;izglađivaš;izglađiva;izglađivamo;izglađivate;izglađivaju
izbiti;izbim;izbiš;izbi;izbimo;izbite;izbe
umovati;umovam;umovaš;umova;umovamo;umovate;umovaju
izumjeti;izumjmem;izumjmeš;izumjme;izumjmemo;izumjmete;izumjmu
opiti;opim;opiš;opi;opimo;opite;ope
poznavati;poznavam;poznavaš;poznava;poznavamo;poznavate;poznavaju
odbacivati;odbacivam;odbacivaš;odbaciva;odbacivamo;odbacivate;odbacivaju
ohrabrivati;ohrabrivam;ohrabrivaš;ohrabriva;ohrabrivamo;ohrabrivate;ohrabrivaju
naznačivati;naznačivam;naznačivaš;naznačiva;naznačivamo;naznačivate;naznačivaju
osmjehivati;osmjehivam;osmjehivaš;osmjehiva;osmjehivamo;osmjehivate;osmjehivaju
odmrsivati;odmrsivam;odmrsivaš;odmrsiva;odmrsivamo;odmrsivate;odmrsivaju
ožalošćivati;ožalošćivam;ožalošćivaš;ožalošćiva;ožalošćivamo;ožalošćivate;ožalošćivaju
gladovati;gladovam;gladovaš;gladova;gladovamo;gladovate;gladovaju
razviti;razvim;razviš;razvi;razvimo;razvite;razve
bdjeti;bdjmem;bdjmeš;bdjme;bdjmemo;bdjmete;bdjmu
prosljeđivati;prosljeđivam;prosljeđivaš;prosljeđiva;prosljeđivamo;prosljeđivate;prosljeđivaju
oblikovati;oblikovam;oblikovaš;oblikova;oblikovamo;oblikovate;oblikovaju
odlučivati;odlučivam;odlučivaš;odlučiva;odlučivamo;odlučivate;odlučivaju
izgnjiti;izgnjim;izgnjiš;izgnji;izgnjimo;izgnjite;izgnje
istupljivati;istupljivam;istupljivaš;istupljiva;istupljivamo;istupljivate;istupljivaju
nazuti;nazmem;nazmeš;nazme;nazmemo;nazmete;nazmu
osuđivati;osuđivam;osuđivaš;osuđiva;osuđivamo;osuđivate;osuđivaju
izopćivati;izopćivam;izopćivaš;izopćiva;izopćivamo;izopćivate;izopćivaju
psovati;psovam;psovaš;psova;psovamo;psovate;psovaju
razliti;razlim;razliš;razli;razlimo;razlite;razle
pokraćivati;pokraćivam;pokraćivaš;pokraćiva;pokraćivamo;pokraćivate;pokraćivaju
ucviljivati;ucviljivam;ucviljivaš;ucviljiva;ucviljivamo;ucviljivate;ucviljivaju
pokajati;pokajam;pokajaš;pokaja;pokajamo;pokajate;pokajaju
potpisivati;potpisivam;potpisivaš;potpisiva;potpisivamo;potpisivate;potpisivaju
izvojevati;izvojevam;izvojevaš;izvojeva;izvojevamo;izvojevate;izvojevaju
unapređivati;unapređivam;unapređivaš;unapređiva;unapređivamo;unapređivate;unapređivaju
odšiti;odšim;odšiš;odši;odšimo;odšite;odše
pokazivati;pokazivam;pokazivaš;pokaziva;pokazivamo;pokazivate;pokazivaju
nasljedovati;nasljedovam;nasljedovaš;nasljedova;nasljedovamo;nasljedovate;nasljedovaju
skanjivati;skanjivam;skanjivaš;skanjiva;skanjivamo;skanjivate;skanjivaju
prikovati;prikovam;prikovaš;prikova;prikovamo;prikovate;prikovaju
raščlanjivati;raščlanjivam;raščlanjivaš;raščlanjiva;raščlanjivamo;raščlanjivate;raščlanjivaju
ubilježivati;ubilježivam;ubilježivaš;ubilježiva;ubilježivamo;ubilježivate;ubilježivaju
smjenjivati;smjenjivam;smjenjivaš;smjenjiva;smjenjivamo;smjenjivate;smjenjivaju
ražalošćivati;ražalošćivam;ražalošćivaš;ražalošćiva;ražalošćivamo;ražalošćivate;ražalošćivaju
prispjeti;prispjmem;prispjmeš;prispjme;prispjmemo;prispjmete;prispjmu
milovati;milovam;milovaš;milova;milovamo;milovate;milovaju
izbjeljivati;izbjeljivam;izbjeljivaš;izbjeljiva;izbjeljivamo;izbjeljivate;izbjeljivaju
uvjetovati;uvjetovam;uvjetovaš;uvjetova;uvjetovamo;uvjetovate;uvjetovaju
omogućivati;omogućivam;omogućivaš;omogućiva;omogućivamo;omogućivate;omogućivaju
razaslati;razaslam;razaslaš;razasla;razaslamo;razaslate;razaslaju
biti;bim;biš;bi;bimo;bite;be
naužiti;naužim;naužiš;nauži;naužimo;naužite;nauže
saborovati;saborovam;saborovaš;saborova;saborovamo;saborovate;saborovaju
splašnjivati;splašnjivam;splašnjivaš;splašnjiva;splašnjivamo;splašnjivate;splašnjivaju
zabilježivati;zabilježivam;zabilježivaš;zabilježiva;zabilježivamo;zabilježivate;zabilježivaju
ostajati;ostajam;ostajaš;ostaja;ostajamo;ostajate;ostajaju
potplaćivati;potplaćivam;potplaćivaš;potplaćiva;potplaćivamo;potplaćivate;potplaćivaju
uneređivati;uneređivam;uneređivaš;uneređiva;uneređivamo;uneređivate;uneređivaju
politi;polim;poliš;poli;polimo;polite;pole
pohranjivati;pohranjivam;pohranjivaš;pohranjiva;pohranjivamo;pohranjivate;pohranjivaju
naređivati;naređivam;naređivaš;naređiva;naređivamo;naređivate;naređivaju
produbljivati;produbljivam;produbljivaš;produbljiva;produbljivamo;produbljivate;produbljivaju
otpiti;otpim;otpiš;otpi;otpimo;otpite;otpe
posavjetovati;posavjetovam;posavjetovaš;posavjetova;posavjetovamo;posavjetovate;posavjetovaju
obogaćivati;obogaćivam;obogaćivaš;obogaćiva;obogaćivamo;obogaćivate;obogaćivaju
kajati;kajam;kajaš;kaja;kajamo;kajate;kajaju
zamjenjivati;zamjenjivam;zamjenjivaš;zamjenjiva;zamjenjivamo;zamjenjivate;zamjenjivaju
prikazivati;prikazivam;prikazivaš;prikaziva;prikazivamo;prikazivate;prikazivaju
desetkovati;desetkovam;desetkovaš;desetkova;desetkovamo;desetkovate;desetkovaju
opasivati;opasivam;opasivaš;opasiva;opasivamo;opasivate;opasivaju
saopćivati;saopćivam;saopćivaš;saopćiva;saopćivamo;saopćivate;saopćivaju
sudovati;sudovam;sudovaš;sudova;sudovamo;sudovate;sudovaju
pobuđivati;pobuđivam;pobuđivaš;pobuđiva;pobuđivamo;pobuđivate;pobuđivaju
skovati;skovam;skovaš;skova;skovamo;skovate;skovaju
istjerivati;istjerivam;istjerivaš;istjeriva;istjerivamo;istjerivate;istjerivaju
zapisivati;zapisivam;zapisivaš;zapisiva;zapisivamo;zapisivate;zapisivaju
istovarivati;istovarivam;istovarivaš;istovariva;istovarivamo;istovarivate;istovarivaju
odaslati;odaslam;odaslaš;odasla;odaslamo;odaslate;odaslaju
opšiti;opšim;opšiš;opši;opšimo;opšite;opše
glazbovati;glazbovam;glazbovaš;glazbova;glazbovamo;glazbovate;glazbovaju
nasađivati;nasađivam;nasađivaš;nasađiva;nasađivamo;nasađivate;nasađivaju
ushićivati;ushićivam;ushićivaš;ushićiva;ushićivamo;ushićivate;ushićivaju
obvezivati;obvezivam;obvezivaš;obveziva;obvezivamo;obvezivate;obvezivaju
obznanjivati;obznanjivam;obznanjivaš;obznanjiva;obznanjivamo;obznanjivate;obznanjivaju
otkupljivati;otkupljivam;otkupljivaš;otkupljiva;otkupljivamo;otkupljivate;otkupljivaju
miti;mim;miš;mi;mimo;mite;me
zauzimati;zauzimam;zauzimaš;zauzima;zauzimamo;zauzimate;zauzimaju
pridavati;pridavam;pridavaš;pridava;pridavamo;pridavate;pridavaju
preimenovati;preimenovam;preimenovaš;preimenova;preimenovamo;preimenovate;preimenovaju
povisivati;povisivam;povisivaš;povisiva;povisivamo;povisivate;povisivaju
odavati;odavam;odavaš;odava;odavamo;odavate;odavaju
klati;klam;klaš;kla;klamo;klate;klaju
uhićivati;uhićivam;uhićivaš;uhićiva;uhićivamo;uhićivate;uhićivaju
obrubljivati;obrubljivam;obrubljivaš;obrubljiva;obrubljivamo;obrubljivate;obrubljivaju
stvrdnjivati;stvrdnjivam;stvrdnjivaš;stvrdnjiva;stvrdnjivamo;stvrdnjivate;stvrdnjivaju
rasvjetljivati;rasvjetljivam;rasvjetljivaš;rasvjetljiva;rasvjetljivamo;rasvjetljivate;rasvjetljivaju
mudrovati;mudrovam;mudrovaš;mudrova;mudrovamo;mudrovate;mudrovaju
ustajati;ustajam;ustajaš;ustaja;ustajamo;ustajate;ustajaju
nadahnjivati;nadahnjivam;nadahnjivaš;nadahnjiva;nadahnjivamo;nadahnjivate;nadahnjivaju
naljepljivati;naljepljivam;naljepljivaš;naljepljiva;naljepljivamo;naljepljivate;naljepljivaju
žeti;žmem;žmeš;žme;žmemo;žmete;žmu
zreti;zrem;zreš;zre;zremo;zrete;zru
odljepljivati;odljepljivam;odljepljivaš;odljepljiva;odljepljivamo;odljepljivate;odljepljivaju
zasljepljivati;zasljepljivam;zasljepljivaš;zasljepljiva;zasljepljivamo;zasljepljivate;zasljepljivaju
nadmašivati;nadmašivam;nadmašivaš;nadmašiva;nadmašivamo;nadmašivate;nadmašivaju
preispitivati;preispitivam;preispitivaš;preispitiva;preispitivamo;preispitivate;preispitivaju
zaluđivati;zaluđivam;zaluđivaš;zaluđiva;zaluđivamo;zaluđivate;zaluđivaju
nabiti;nabim;nabiš;nabi;nabimo;nabite;nabe
logorovati;logorovam;logorovaš;logorova;logorovamo;logorovate;logorovaju
potrebovati;potrebovam;potrebovaš;potrebova;potrebovamo;potrebovate;potrebovaju
izručivati;izručivam;izručivaš;izručiva;izručivamo;izručivate;izručivaju
popljuvati;popljuvam;popljuvaš;popljuva;popljuvamo;popljuvate;popljuvaju
iznajmljivati;iznajmljivam;iznajmljivaš;iznajmljiva;iznajmljivamo;iznajmljivate;iznajmljivaju
pojati;pojam;pojaš;poja;pojamo;pojate;pojaju
razmjenjivati;razmjenjivam;razmjenjivaš;razmjenjiva;razmjenjivamo;razmjenjivate;razmjenjivaju
nazadovati;nazadovam;nazadovaš;nazadova;nazadovamo;nazadovate;nazadovaju
umrtvljivati;umrtvljivam;umrtvljivaš;umrtvljiva;umrtvljivamo;umrtvljivate;umrtvljivaju
usrećivati;usrećivam;usrećivaš;usrećiva;usrećivamo;usrećivate;usrećivaju
tugovati;tugovam;tugovaš;tugova;tugovamo;tugovate;tugovaju
osamljivati;osamljivam;osamljivaš;osamljiva;osamljivamo;osamljivate;osamljivaju
poslovati;poslovam;poslovaš;poslova;poslovamo;poslovate;poslovaju
uviti;uvim;uviš;uvi;uvimo;uvite;uve
izmirivati;izmirivam;izmirivaš;izmiriva;izmirivamo;izmirivate;izmirivaju
oplemenjivati;oplemenjivam;oplemenjivaš;oplemenjiva;oplemenjivamo;oplemenjivate;oplemenjivaju
naginjati;naginjam;naginjaš;naginja;naginjamo;naginjate;naginjaju
navaljivati;navaljivam;navaljivaš;navaljiva;navaljivamo;navaljivate;navaljivaju
izbljeđivati;izbljeđivam;izbljeđivaš;izbljeđiva;izbljeđivamo;izbljeđivate;izbljeđivaju
zastajkivati;zastajkivam;zastajkivaš;zastajkiva;zastajkivamo;zastajkivate;zastajkivaju
potkazivati;potkazivam;potkazivaš;potkaziva;potkazivamo;potkazivate;potkazivaju
rasijati;rasijam;rasijaš;rasija;rasijamo;rasijate;rasijaju
dodirivati;dodirivam;dodirivaš;dodiriva;dodirivamo;dodirivate;dodirivaju
šurovati;šurovam;šurovaš;šurova;šurovamo;šurovate;šurovaju
likovati;likovam;likovaš;likova;likovamo;likovate;likovaju
zarezivati;zarezivam;zarezivaš;zareziva;zarezivamo;zarezivate;zarezivaju
žrtvovati;žrtvovam;žrtvovaš;žrtvova;žrtvovamo;žrtvovate;žrtvovaju
okomljivati;okomljivam;okomljivaš;okomljiva;okomljivamo;okomljivate;okomljivaju
razdavati;razdavam;razdavaš;razdava;razdavamo;razdavate;razdavaju
zamahivati;zamahivam;zamahivaš;zamahiva;zamahivamo;zamahivate;zamahivaju
otpuhivati;otpuhivam;otpuhivaš;otpuhiva;otpuhivamo;otpuhivate;otpuhivaju
dostajati;dostajam;dostajaš;dostaja;dostajamo;dostajate;dostajaju
nadvikivati;nadvikivam;nadvikivaš;nadvikiva;nadvikivamo;nadvikivate;nadvikivaju
zaviti;zavim;zaviš;zavi;zavimo;zavite;zave
podređivati;podređivam;podređivaš;podređiva;podređivamo;podređivate;podređivaju
dolikovati;dolikovam;dolikovaš;dolikova;dolikovamo;dolikovate;dolikovaju
prestravljivati;prestravljivam;prestravljivaš;prestravljiva;prestravljivamo;prestravljivate;prestravljivaju
savlađivati;savlađivam;savlađivaš;savlađiva;savlađivamo;savlađivate;savlađivaju
zakrivljivati;zakrivljivam;zakrivljivaš;zakrivljiva;zakrivljivamo;zakrivljivate;zakrivljivaju
iščekivati;iščekivam;iščekivaš;iščekiva;iščekivamo;iščekivate;iščekivaju
prosijati;prosijam;prosijaš;prosija;prosijamo;prosijate;prosijaju
odskakivati;odskakivam;odskakivaš;odskakiva;odskakivamo;odskakivate;odskakivaju
dokrajčivati;dokrajčivam;dokrajčivaš;dokrajčiva;dokrajčivamo;dokrajčivate;dokrajčivaju
pošteđivati;pošteđivam;pošteđivaš;pošteđiva;pošteđivamo;pošteđivate;pošteđivaju
prestajati;prestajam;prestajaš;prestaja;prestajamo;prestajate;prestajaju
obodrivati;obodrivam;obodrivaš;obodriva;obodrivamo;obodrivate;obodrivaju
bljuvati;bljuvam;bljuvaš;bljuva;bljuvamo;bljuvate;bljuvaju
potamnjivati;potamnjivam;potamnjivaš;potamnjiva;potamnjivamo;potamnjivate;potamnjivaju
zastenjati;zastenjam;zastenjaš;zastenja;zastenjamo;zastenjate;zastenjaju
povređivati;povređivam;povređivaš;povređiva;povređivamo;povređivate;povređivaju
ratovati;ratovam;ratovaš;ratova;ratovamo;ratovate;ratovaju
potkrepljivati;potkrepljivam;potkrepljivaš;potkrepljiva;potkrepljivamo;potkrepljivate;potkrepljivaju
opterećivati;opterećivam;opterećivaš;opterećiva;opterećivamo;opterećivate;opterećivaju
raspitivati;raspitivam;raspitivaš;raspitiva;raspitivamo;raspitivate;raspitivaju
čuvstvovati;čuvstvovam;čuvstvovaš;čuvstvova;čuvstvovamo;čuvstvovate;čuvstvovaju
naslućivati;naslućivam;naslućivaš;naslućiva;naslućivamo;naslućivate;naslućivaju
uručivati;uručivam;uručivaš;uručiva;uručivamo;uručivate;uručivaju
odbiti;odbim;odbiš;odbi;odbimo;odbite;odbe
zborovati;zborovam;zborovaš;zborova;zborovamo;zborovate;zborovaju
odviti;odvim;odviš;odvi;odvimo;odvite;odve
riti;rim;riš;ri;rimo;rite;re
zavređivati;zavređivam;zavređivaš;zavređiva;zavređivamo;zavređivate;zavređivaju
izrabljivati;izrabljivam;izrabljivaš;izrabljiva;izrabljivamo;izrabljivate;izrabljivaju
zariti;zarim;zariš;zari;zarimo;zarite;zare
pribiti;pribim;pribiš;pribi;pribimo;pribite;pribe
uvaljivati;uvaljivam;uvaljivaš;uvaljiva;uvaljivamo;uvaljivate;uvaljivaju
pomilovati;pomilovam;pomilovaš;pomilova;pomilovamo;pomilovate;pomilovaju
uzimati;uzimam;uzimaš;uzima;uzimamo;uzimate;uzimaju
nestajati;nestajam;nestajaš;nestaja;nestajamo;nestajate;nestajaju
uzbunjivati;uzbunjivam;uzbunjivaš;uzbunjiva;uzbunjivamo;uzbunjivate;uzbunjivaju
potkupljivati;potkupljivam;potkupljivaš;potkupljiva;potkupljivamo;potkupljivate;potkupljivaju
snovati;snovam;snovaš;snova;snovamo;snovate;snovaju
obezvređivati;obezvređivam;obezvređivaš;obezvređiva;obezvređivamo;obezvređivate;obezvređivaju
osvećivati;osvećivam;osvećivaš;osvećiva;osvećivamo;osvećivate;osvećivaju
