abdiciram,abdicirati
predvidim,predvidjeti
pređem,preći
preferiram,preferirati
preformuliram,preformulirati
pregazim,pregaziti
pregibam,pregibati
pregledam,pregledati
pregledavam,pregledavati
pregnem,pregnuti
pregorim,pregorjeti
pregovaram,pregovarati
pregradim,pregraditi
pregrizem,pregristi
pregrmim,pregrmjeti
preguram,pregurati
prehodam,prehodati
prehranim,prehraniti
preimenujem,preimenovati
preispitam,preispitati
preispitujem,preispitivati
prekalim,prekaliti
prekidam,prekidati
prekinem,prekinuti
prekipim,prekipjeti
preklapam,preklapati
preklinjem,preklinjati
preklopim,preklopiti
prekoljem,preklati
prekomandiram,prekomandirati
prekopam,prekopati
prekopavam,prekopavati
prekopiram,prekopirati
prekoravam,prekoravati
prekorim,prekoriti
prekrijem,prekriti
prekrižim,prekrižiti
prekršim,prekršiti
prekuham,prekuhati
prekujem,prekovati
prekupim,prekupiti
preletim,preletjeti
preležim,preležati
prelistam,prelistati
prelivam,prelivati
prelomim,prelomiti
preložim,preložiti
preludiram,preludirati
premaram,premarati
premašim,premašiti
premazujem,premazivati
premažem,premazati
premetnem,premetnuti
premiješam,premiješati
preminem,preminuti
premjerim,premjeriti
premjestim,premjestiti
premlatim,premlatiti
premostim,premostiti
premotam,premotati
premrem,premrijeti
prenaglasim,prenaglasiti
prenaglim,prenagliti
prenavljam,prenavljati
prenem,prenuti
prenemažem,prenemagati
prenerazim,preneraziti
preneražavam,preneražavati
prenesem,prenijeti
prenoćim,prenoćiti
preobličujem,preobličivati
preobraćujem,preobraćivati
preobučem,preobući
preokrećem,preokretati
preokrenem,preokrenuti
preotmem,preoteti
prepadam,prepadati
prepadnem,prepasti
prepariram,preparirati
prepilim,prepiliti
prepirem,prepirati
prepišam,prepisati
prepišem,prepisati
prepješačim,prepješačiti
preplanem,preplanuti
preplašim,preplašiti
preplatim,preplatiti
preplavim,preplaviti
preplavljujem,preplavljivati
preplivam,preplivati
prepolovim,prepoloviti
preporučujem,preporučivati
prepoznajem,prepoznavati
prepravim,prepraviti
prepravljam,prepravljati
prepržujem,preprživati
prepucavam,prepucavati
prepuknem,prepuknuti
prepustim,prepustiti
prepuštam,prepuštati
preradim,preraditi
prerastem,prerasti
prerezujem,prerezivati
prerežem,prerezati
prerušim,prerušiti
prerušujem,prerušivati
presahnem,presahnuti
presavijam,presavijati
presavijem,presaviti
presijavam,presijavati
presjednem,presjesti
preskačem,preskakati
preslikam,preslikati
preslikavam,preslikavati
presolim,presoliti
prespavam,prespavati
prespem,presuti
prestajem,prestajati
prestanem,prestati
prestarim,prestarjeti
prestignem,prestignuti
prestojim,prestajati
prestrašim,prestrašiti
prestravim,prestraviti
prestravljujem,prestravljivati
prestupim,prestupiti
presudim,presuditi
presuđujem,presuđivati
presušim,presušiti
presušujem,presušivati
presvisnem,presvisnuti
presvodim,presvoditi
prešam,prešati
prešutim,prešutjeti
pretegnem,pretegnuti
pretekem,preteći
pretendiram,pretendirati
pretežem,pretezati
prethodim,prethoditi
pretičem,preticati
pretječem,pretjecati
pretjeram,pretjerati
pretjerujem,pretjerivati
pretkazujem,pretkazivati
pretkažem,pretkazati
pretopim,pretopiti
pretovarim,pretovariti
pretpostavim,pretpostaviti
pretpostavljam,pretpostavljati
pretražim,pretražiti
pretresem,pretresti
pretrgnem,pretrnuti
pretrpim,pretrpjeti
pretvaram,pretvarati
pretvorim,pretvoriti
preudam,preudati
preudesim,preudesiti
preuredim,preurediti
preustrojavam,preustrojavati
preuzmem,preuzeti
prevagnem,prevagnuti
prevalim,prevaliti
prevaljujem,prevaljivati
prevarim,prevariti
prevedem,prevesti
preveniram,prevenirati
preveslam,preveslati
prevezem,prevesti
previdim,previdjeti
previđam,previđati
previjem,previti
previrem,previrati
prevjerim,prevjeriti
prevladam,prevladati
prevodim,prevoditi
prevrim,prevreti
prevrnem,prevrnuti
prezidam,prezidati
prezimim,prezimiti
prezirem,prezirati
prezivam,prezivati
prezrem,prezreti
prežalim,prežaliti
preživim,preživjeti
prežvakavam,prežvakavati
prhnem,prhnuti
prianjam,prianjati
pribadam,pribadati
pribavim,pribaviti
pribavljam,pribavljati
pribijam,pribijati
pribijem,pribiti
pribilježim,pribilježiti
pribjegnem,pribjeći
približim,približiti
pribodem,pribosti
pribojavam,pribojavati
pribrojavam,pribrojavati
pribrojim,pribrojati
pričam,pričati
pričekam,pričekati
pričinjavam,pričinjavati
pridajem,pridavati
pridignem,pridignuti
pridjeljujem,pridjeljivati
pridjenem,pridjenuti
pridobivam,pridobivati
pridodam,pridodati
pridodavam,pridodavati
pridonesem,pridonijeti
pridrijemam,pridrijemati
pridružim,pridružiti
pridržim,pridržati
priđem,prići
prigledam,prigledati
prignam,prignati
prignem,prignuti
prigotovim,prigotoviti
prigovaram,prigovarati
prigovorim,prigovoriti
prigrabim,prigrabiti
prigradim,prigraditi
prigrijavam,prigrijavati
prigrijem,prigrijati
prigrizem,prigristi
prigrlim,prigrliti
prigrnem,prigrnuti
prigustim,prigustiti
prigušim,prigušiti
prihodim,prihoditi
prihranim,prihraniti
prihranjujem,prihranjivati
prihvaćam,prihvaćati
prihvatim,prihvatiti
prijam,prijati
prijateljem,prijateljevati
prijateljujem,prijateljevati
prijavljujem,prijavljivati
prijeđem,prijeći
prijetim,prijetiti
prikazujem,prikazivati
prikažem,prikazati
priklonim,prikloniti
priklopim,priklopiti
prikradam,prikradati
prikradem,prikrasti
prikratim,prikratiti
prikrivam,prikrivati
prikrpam,prikrpati
prikučim,prikučiti
prikujem,prikovati
prikupim,prikupiti
prilagodim,prilagoditi
prilagođujem,prilagođivati
prilazim,prilaziti
prilažem,prilagati
prilegnem,prileći
prilijepim,prilijepiti
priložim,priložiti
priljepljujem,priljepljivati
priljubim,priljubiti
priljubljujem,priljubljivati
primaknem,primaći
primam,primati
primamim,primamiti
primamljujem,primamljivati
primičem,primicati
primijenim,primijeniti
primiješam,primiješati
primijetim,primijetiti
primim,primiti
primirim,primiriti
primirišem,primirisati
primjećujem,primjećivati
primjerim,primjeriti
prinesem,prinijeti
prinosim,prinositi
priopćim,priopćiti
pripadam,pripadati
pripadnem,pripasti
pripajam,pripajati
pripazim,pripaziti
pripišem,pripisati
pripominjem,pripominjati
pripomognem,pripomoći
pripovijedam,pripovijedati
pripovjedim,pripovjediti
pripravim,pripraviti
pripravljam,pripravljati
priprijetim,priprijetiti
pripucam,pripucati
pripustim,pripustiti
pripuštam,pripuštati
prirastem,prirasti
priredim,prirediti
prirežem,prirezati
prisegnem,prisegnuti
prisežem,prisezati
prisilim,prisiliti
prisjetim,prisjetiti
priskočim,priskočiti
priskrbim,priskrbiti
priskrbljujem,priskrbljivati
prislonim,prisloniti
prisluškujem,prisluškivati
prislušnem,prislušnuti
prislužim,prislužiti
prispijem,prispjeti
prispodobim,prispodobiti
pristajem,pristajati
pristanem,pristati
pristavim,pristaviti
pristignem,pristignuti
pristupim,pristupiti
prisustvujem,prisustvovati
prisvajam,prisvajati
prisvojim,prisvojiti
prišarafim,prišarafiti
prišijem,prišiti
prištedim,prištedjeti
prišuljam,prišuljati
pritajim,pritajiti
pritegnem,pritegnuti
priteknem,priteći
pritijesnim,pritijesniti
pritisnem,pritisnuti
pritvaram,pritvarati
pritvorim,pritvoriti
priupitam,priupitati
priuštim,priuštiti
privatiziram,privatizirati
privedem,privesti
privezujem,privezivati
prividim,prividjeti
privijem,priviti
privinem,privinuti
privirim,priviriti
privlačim,privlačiti
privodim,privoditi
privolim,privoljeti
privrijedim,privrijediti
prizdravim,prizdraviti
prizemljim,prizemljiti
prizivam,prizivati
priznajem,priznavati
priznam,priznati
prizovem,prizvati
priželjkujem,priželjkivati
prižežem,prižeći
prižmirim,prižmiriti
prkosim,prkositi
prljam,prljati
proanaliziram,proanalizirati
probadam,probadati
probam,probati
probavim,probaviti
probavljam,probavljati
probdijem,probdjeti
proberem,probrati
probesjedim,probesjediti
probijam,probijati
problijedim,problijedjeti
probudim,probuditi
proburazim,proburaziti
procijenim,procijeniti
procjenjujem,procjenjivati
procvatem,procvasti
procvilim,procviljeti
procvjetam,procvjetati
pročešljavam,pročešljavati
pročistim,pročistiti
pročišćujem,pročišćivati
pročitam,pročitati
prodajem,prodavati
prodam,prodati
prodangubim,prodangubiti
prodefiliram,prodefilirati
prodiskutiram,prodiskutirati
prodrem,prodrijeti
prodrmam,prodrmati
produbem,produpsti
produbim,produbiti
produbljujem,produbljivati
produciram,producirati
produljim,produljiti
produljujem,produljivati
produžim,produžiti
prođem,proći
profitiram,profitirati
proganjam,proganjati
proglasim,proglasiti
proglašavam,proglašavati
progledam,progledati
prognam,prognati
prognoziram,prognozirati
progonim,progoniti
progorim,progorjeti
progovaram,progovarati
progovorim,progovoriti
programiram,programirati
progrizem,progristi
progunđam,progunđati
progutam,progutati
prohibiram,prohibirati
prohladnim,prohladnjeti
prohodam,prohodati
prohtijem,prohtjeti
prohujam,prohujati
proigram,proigrati
proigravam,proigravati
proishodim,proishoditi
proisteknem,proisteći
proizlazim,proizlaziti
proizvedem,proizvesti
projasnim,projasniti
projašem,projahati
projektiram,projektirati
projezdim,projezditi
projiciram,projicirati
projurim,projuriti
prokadim,prokaditi
prokapam,prokapati
prokapljujem,prokapljivati
prokartam,prokartati
prokažem,prokazati
prokisnem,prokisnuti
prokišnjavam,prokišnjavati
proklinjem,proklinjati
proklizim,prokliziti
proknjižim,proknjižiti
prokockam,prokockati
prokolam,prokolati
prokomentiram,prokomentirati
prokopam,prokopati
prokopavam,prokopavati
prokrčujem,prokrčivati
prokrstarim,prokrstariti
prokrvarim,prokrvariti
prokuham,prokuhati
prokukam,prokukati
prokunem,prokleti
prokunjam,prokunjati
prokušam,prokušati
prokužim,prokužiti
prolamam,prolamati
prolazim,prolaziti
prolebdim,prolebdjeti
proletim,proletjeti
prolijem,proliti
prolistam,prolistati
prolomim,prolomiti
prolongiram,prolongirati
prolunjam,prolunjati
prolutam,prolutati
promaknem,promaknuti
promarširam,promarširati
promašim,promašiti
promašujem,promašivati
promatram,promatrati
promećem,prometati
promigoljim,promigoljiti
promijenim,promijeniti
promiješam,promiješati
promislim,promisliti
promišljam,promišljati
promolim,promoliti
promotrim,promotriti
promozgam,promozgati
promrmljam,promzmljati
promrsim,promrsiti
promrznem,promrznuti
promucam,promucati
promuknem,promuknuti
promumljam,promumljati
promuvam,promuvati
pronađem,pronaći
pronalazim,pronalaziti
pronesem,pronijeti
pronevjerim,pronevjeriti
proniknem,pronići
pronosim,pronositi
pronjušim,pronjušiti
pronjuškam,pronjuškati
propadam,propadati
propadnem,propasti
propagiram,propagirati
propatim,propatiti
propijem,propiti
propisujem,propisivati
propišam,propisati
propišem,propisati
propitam,propitati
propjevam,propjevati
proplanem,proplanuti
propletem,proplesti
proplivam,proplivati
propovijedam,propovijedati
proprtim,proprtiti
propuhujem,propuhivati
propupam,propupati
propustim,propustiti
propušem,propuhati
propušim,propušiti
propuštam,propuštati
proputujem,proputovati
proradim,proraditi
prorajtam,prorajtati
prorastem,prorasti
prorežem,prorezati
proričem,proricati
prorijedim,prorijediti
prorujem,prorovati
prosanjam,prosanjati
prosijavam,prosijavati
prosijem,prosijati
prosim,prositi
prosinem,prosinuti
prosipam,prosipati
prosjačim,prosjačiti
prosjajujem,prosjajivati
prosjedim,prosjediti
proskribiram,proskribirati
proslavim,proslaviti
proslavljam,proslavljati
proslijedim,proslijediti
proslovim,prosloviti
prosljeđujem,prosljeđivati
prospavam,prospavati
prospem,prosuti
prosperiram,prosperirati
prostituiram,prostituirati
prostojim,prostajati
prostrem,prostrti
prostrijelim,prostrijeliti
prostrujim,prostrujati
prostudiram,prostudirati
prosudim,prosuditi
prosukljam,prosukljati
prosuzim,prosuziti
prosvijetlim,prosvijetliti
prosviram,prosvirati
prosvjedujem,prosvjedovati
prosvrdlam,prosvrdlati
prošaram,prošarati
prošetam,prošetati
prošikljam,prošikljati
prošišam,prošišati
prošupljim,prošupljiti
prošupljujem,prošupljivati
protarem,protrti
protegnem,protegnuti
protepam,protepati
protepem,protepsti
protežiram,protežirati
protičem,proticati
protjeram,protjerati
protjeravam,protjeravati
protrahiram,protrahirati
protratim,protratiti
protrem,protrti
protresam,protresati
protresem,protresti
protrnem,protrnuti
protumačim,protumačiti
protumaram,protumarati
protuslovim,protusloviti
protutnjim,protutnjiti
proučavam,proučavati
prouzročujem,prouzročivati
provalim,provaliti
provaljujem,provaljivati
provedem,provesti
provedrim,provedriti
proventiliram,proventilirati
proveselim,proveseliti
providim,providjeti
provijam,provijati
provijavam,provijavati
provirem,provirati
provirim,proviriti
provjerim,provjeriti
provjetravam,provjetravati
provlačim,provlačiti
provociram,provocirati
provrćem,provrtati
provrijednim,provrijedniti
provrim,provreti
provršljam,provzšljati
provrtim,provztjeti
prozborim,prozboriti
prozebem,prozepsti
prozirem,prozirati
prozivam,prozivati
prozivljem,prozivati
prozovem,prozvati
prozrem,prozreti
prozujim,prozujati
prožderem,prožderati
proždirem,proždirati
proždrem,proždrijeti
proživim,proživjeti
proživljavam,proživljavati
prožvakavam,prožvakavati
prskam,prskati
prsnem,prsnuti
prstenujem,prstenovati
pršim,pršiti
prštim,prštati
prtim,prtiti
prtljam,prtljati
pružam,pružati
pružim,pružiti
pržim,pržiti
psihologiziram,psihologizirati
psujem,psovati
publiciram,publicirati
pucam,pucati
puckam,puckati
pucketam,pucketati
puhnem,puhnuti
puknem,puknuti
pulsiram,pulsirati
pumpam,pumpati
punciram,puncirati
punim,puniti
punktiram,punktirati
puntam,puntati
pustim,pustiti
pustošim,pustošiti
pušem,puhati
pušim,pušiti
puškaram,puškarati
puštam,puštati
putim,putiti
putujem,putovati
pužem,puziti
rabim,rabiti
racionaliziram,racionalizirati
računam,računati
radim,raditi
radujem,radovati
rađam,rađati
rafiniram,rafinirati
rahlim,rahliti
ranim,raniti
ranžiram,ranžirati
ranjavam,ranjavati
rascijepam,rascijepati
rascijepim,rascijepiti
rascjepkam,rascjepkati
rascjepkavam,rascjepkavati
rascjepljujem,rascjepljivati
rascvjetam,rascvjetati
raselim,raseliti
rasformiram,rasformirati
rashladim,rashladiti
rashlađujem,rashlađivati
rasijem,rasijati
rasipam,rasipati
rasipavam,rasipavati
rasitnim,rasitniti
raskalašim,raskalašiti
raskidam,raskidati
raskinem,raskinuti
raskiselim,raskiseliti
rasklapam,rasklapati
rasklimam,rasklimati
rasklimavam,rasklimavati
rasklopim,rasklopiti
raskomadam,raskomadati
raskomotim,raskomotiti
raskopam,raskopati
raskopčavam,raskopčavati
raskrčujem,raskrčivati
raskrinkam,raskrinkati
raskrojim,raskrojiti
raskrstim,raskzstiti
raskujem,raskovati
raspačavam,raspačavati
raspadnem,raspasti
raspakiram,raspakirati
raspakiravam,raspakiravati
raspalim,raspaliti
raspaljujem,raspaljivati
rasparam,rasparati
rasparceliram,rasparcelirati
rasparim,raspariti
raspekmezim,raspekmeziti
raspem,rasuti
raspetljam,raspetljati
raspirim,raspiriti
raspitujem,raspitivati
raspjevam,raspjevati
rasplamtim,rasplamsati
rasplećem,raspletati
raspletem,rasplesti
rasplinem,rasplinuti
raspodijelim,raspodijeliti
raspodjeljujem,raspodjeljivati
raspojasam,raspojasati
raspolažem,raspolagati
raspolovim,raspoloviti
raspoložim,raspoložiti
raspolutim,raspolutiti
raspomamim,raspomamiti
rasporim,rasporiti
raspoznam,raspoznati
raspravim,raspraviti
raspravljam,raspravljati
rasprčkam,rasprčkati
rasprčkavam,rasprčkavati
raspredam,raspredati
raspregnem,raspregnuti
raspremim,raspremiti
rasprodam,rasprodati
rasprostranim,rasprostraniti
rasprostranjujem,rasprostranjivati
rasprsnem,rasprsnuti
raspršim,raspršiti
raspružim,raspružiti
raspucam,raspucati
raspuknem,raspući
raspustim,raspustiti
raspušem,raspuhati
rasrdim,rasrditi
rastajem,rastajati
rastalim,rastaliti
rastanem,rastati
rastapam,rastapati
rastavim,rastaviti
rastavljam,rastavljati
rastegnem,rastegnuti
rastem,rasti
rasterećujem,rasterećivati
rastežem,rastezati
rastjeram,rastjerati
rastjeravam,rastjeravati
rastopim,rastopiti
rastresem,rastresti
rastrgnem,rastrgnuti
rastrljam,rastrljati
rastrojavam,rastrojavati
rastumačim,rastumačiti
rastužim,rastužiti
rastužujem,rastuživati
rastvaram,rastvarati
rastvorim,rastvoriti
rasudim,rasuditi
rasuđujem,rasuđivati
rasvijetlim,rasvijetliti
rasvjetljujem,rasvjetljivati
raščešljam,raščešljati
raščešljavam,raščešljavati
raščinim,raščiniti
raščišćavam,raščišćavati
raščlanim,raščlaniti
raščlanjujem,raščlanjivati
raščupam,raščupati
raširim,raširiti
raširujem,raširivati
rašljam,rašljati
rašpam,rašpati
raštrkam,raštrkati
ratificiram,ratificirati
ratujem,ratovati
ravnam,ravnati
razaberem,razabrati
razabirem,razabirati
razapnem,razapeti
razasipam,razasipati
razaspem,razasuti
razastirem,razastirati
razastrem,razastrijeti
razašaljem,razaslati
razbacam,razbacati
razbacujem,razbacivati
razbijam,razbijati
razbijem,razbiti
razbistrim,razbistriti
razbistrujem,razbistrivati
razbjesnim,razbjesniti
razbolim,razboljeti
razbrbljam,razbrbljati
razbucam,razbucati
razbudim,razbuditi
razbuktam,razbuktati
razbuktavam,razbuktavati
razdajem,razdavati
razdam,razdati
razdanim,razdaniti
razdanjujem,razdanjivati
razderem,razderati
razdijelim,razdijeliti
razdjeljujem,razdjeljivati
razdragam,razdragati
razdražujem,razdraživati
razdrmam,razdrmati
razdružim,razdružiti
razdružujem,razdruživati
razdvojim,razdvojiti
razgaljujem,razgaljivati
razglabam,razglabati
razglasim,razglasiti
razglašavam,razglašavati
razgledam,razgledati
razglobim,razglobiti
razgorim,razgorjeti
razgovaram,razgovarati
razgrabim,razgrabiti
razgradim,razgraditi
razgranam,razgranati
razgrnem,razgrnuti
razigram,razigrati
razjarujem,razjarivati
razjasnim,razjasniti
razjašnjavam,razjašnjavati
razjedinjavam,razjedinjavati
razjurim,razjuriti
razlamam,razlamati
razlegnem,razlegnuti
razletim,razletjeti
razlijem,razliti
razliježem,razlijegati
razlistam,razlistati
razlomim,razlomiti
razložim,razložiti
razlučujem,razlučivati
razljućujem,razljućivati
razljutim,razljutiti
razmatram,razmatrati
razmećem,razmetati
razmekšam,razmekšati
razmijenim,razmijeniti
razmilim,razmiljeti
razmislim,razmisliti
razmišljam,razmišljati
razmjenjujem,razmjenjivati
razmještam,razmještati
razmnažam,razmnažati
razmotam,razmotati
razmotavam,razmotavati
razmotrim,razmotriti
razmrskam,razmrskati
razmrsujem,razmrsivati
razmutim,razmutiti
raznesem,raznijeti
razočaram,razočarati
razočaravam,razočaravati
razonodim,razonoditi
razorim,razoriti
razotkrivam,razotkrivati
razradim,razraditi
razrađujem,razrađivati
razrastem,razrasti
razrežem,razrezati
razrješavam,razrješavati
razrušim,razrušiti
razularim,razulariti
razumijem,razumjeti
razumijevam,razumijevati
razuzdam,razuzdati
razvaljam,razvaljati
razvedravam,razvedravati
razvedrim,razvedriti
razveselim,razveseliti
razvezujem,razvezivati
razvežem,razvezati
razvidim,razvidjeti
razvijam,razvijati
razvijem,razviti
razvodnim,razvodniti
razvodnjavam,razvodnjavati
razvraćam,razvraćati
razvratim,razvratiti
razvrgavam,razvrgavati
razvrgnem,razvrgnuti
ražalim,ražaliti
ražalostim,ražalostiti
ražalošćujem,ražalošćivati
reagiram,reagirati
recenziram,recenzirati
recikliram,reciklirati
recitiram,recitirati
rečem,reći
redigiram,redigirati
redim,rediti
reflektiram,reflektirati
refundiram,refundirati
registriram,registrirati
rekapituliram,rekapitulirati
reklamiram,reklamirati
reknem,reći
rekuperiram,rekuperirati
rekviriram,rekvirirati
relaksiram,relaksirati
relativiziram,relativizirati
reorganiziram,reorganizirati
repriziram,reprizirati
resim,resiti
restituiram,restituirati
rešetam,rešetati
retardiram,retardirati
reteriram,reterirati
retuširam,retuširati
revaloriziram,revalorizirati
revidiram,revidirati
rezerviram,rezervirati
rezigniram,rezignirati
rezimiram,rezimirati
rezuckam,rezuckati
režem,rezati
režim,režati
režiram,režirati
ribam,ribati
ribarim,ribariti
ridam,ridati
rigam,rigati
rijem,riti
riješim,riješiti
riknem,riknuti
rimujem,rimovati
rinem,rinuti
rintam,rintati
riskiram,riskirati
rišem,risati
ritam,ritati
rivaliziram,rivalizirati
rivam,rivati
rješavam,rješavati
robijam,robijati
robim,robiti
robujem,robovati
rodim,roditi
rogoborim,rogoboriti
rogušim,rogušiti
rojim,rojiti
rolam,rolati
romansiram,romansirati
rominjam,rominjati
rondam,rondati
ronim,roniti
rosim,rositi
rovarim,rovariti
rubim,rubiti
rudarim,rudariti
rudim,rudjeti
rugam,rugati
rujem,rovati
ruknem,ruknuti
rukovodim,rukovoditi
runim,runiti
rušim,rušiti
saberem,sabrati
sablaznim,sablazniti
saborujem,saborovati
sabotiram,sabotirati
sačuvam,sačuvati
sadim,saditi
sadržavam,sadržavati
sagibam,sagibati
sagnjijem,sagnjiti
sagorijevam,sagorijevati
sagradim,sagraditi
sagriješim,sagriješiti
sahnem,sahnuti
sahranim,sahraniti
sakatim,sakatiti
sakrijem,sakriti
sakrivam,sakrivati
sakupljam,sakupljati
saletim,saletjeti
salutiram,salutirati
sam,biti
samozadovoljavam,samozadovoljavati
saniram,sanirati
sanjam,sanjati
sanjarim,sanjariti
sanjkam,sanjkati
saopćim,saopćiti
saopćujem,saopćivati
saperem,saprati
saplećem,sapletati
sapletem,saplesti
sapnem,sapeti
sapunam,sapunati
saslušam,saslušati
saspem,sasuti
sastajam,sastajati
sastajem,sastajati
sastanem,sastati
sastavim,sastaviti
sastavljam,sastavljati
sastojim,sastojati
sasušim,sasušiti
sasušujem,sasušivati
sašaptavam,sašaptavati
sašijem,sašiti
satjeram,satjerati
satrem,satrti
savijam,savijati
savijem,saviti
savinem,savinuti
savjetujem,savjetovati
savladam,savladati
savladavam,savladavati
savlađujem,savlađivati
sazdam,sazdati
sazivam,sazivati
saznajem,saznavati
saznam,saznati
sazorim,sazoriti
sazrem,sazreti
sazrijevam,sazrijevati
sazrim,sazreti
sažalijevam,sažalijevati
sažalim,sažaliti
sažežem,sažeći
sažimam,sažimati
sažižem,sažigati
seciram,secirati
sedlam,sedlati
segnem,segnuti
sekundiram,sekundirati
selekcioniram,selekcionirati
selim,seliti
seljakam,seljakati
senzibiliziram,senzibilizirati
serem,srati
serviram,servirati
shrvam,shrvati
shvaćam,shvaćati
shvatim,shvatiti
siđem,sići
signiram,signirati
sijedim,sijedjeti
sijem,sijati
sijevam,sijevati
sijevnem,sijevnuti
silazim,silaziti
silim,siliti
silujem,silovati
simboliziram,simbolizirati
simpatiziram,simpatizirati
simuliram,simulirati
sinem,sinuti
sintetiziram,sintetizirati
sipim,sipiti
sirim,širiti
siromašim,siromašiti
sirotujem,sirotovati
sistematiziram,sistematizirati
sišem,šišati
sitnim,sitniti
situiram,situirati
sivim,sivjeti
sjajim,sjajiti
sjatim,sjatiti
sjeckam,sjeckati
sjećam,sjećati
sjedam,sjedati
sjedim,sjediti
sjedinim,sjediniti
sjedinjavam,sjedinjavati
sjednem,sjesti
sjetim,sjetiti
skačem,skakati
skakućem,skakutati
skalpiram,skalpirati
skalupim,skalupiti
skamenim,skameniti
skandaliziram,skandalizirati
skandiram,skandirati
skanjujem,skanjivati
skapam,skapati
skapavam,skapavati
skiciram,skicirati
skićem,skitati
skidam,skidati
skinem,skinuti
skladam,skladati
skladištim,skladištiti
sklanjam,sklanjati
sklapam,sklapati
sklepam,sklepati
skliznem,skliznuti
skližem,sklizati
sklonem,sklonuti
sklonim,skloniti
sklopim,sklopiti
skljokam,skljokati
skočim,skočiti
skoknem,skoknuti
skončavam,skončavati
skorim,skoriti
skotrljam,skotrljati
skratim,skratiti
skrbim,skrbiti
skrećem,skretati
skrenem,skrenuti
skrešem,skresati
skrham,skzhati
skrijem,sakriti
skrivam,skrivati
skrpim,skrpati
skrstim,skzstiti
skršim,skzšiti
skrućujem,skrućivati
skrutim,skrutiti
skucam,skucati
skuham,skuhati
skujem,skovati
skupim,skupiti
skupljam,skupljati
skutrim,skutriti
skužim,skužiti
slabim,slabjeti
sladim,sladiti
slavim,slaviti
slažem,slagati
sledim,slediti
sleđujem,sleđivati
sletim,sletjeti
slijedim,slijediti
slijepim,slijepjeti
slikam,slikati
slinim,sliniti
slistim,slistiti
sližem,slizati
slomim,slomiti
složim,složiti
sludim,sluditi
slupam,slupati
slušam,slušati
slutim,slutiti
služim,služiti
sljeparim,sljepariti
sljubim,sljubiti
smaknem,smaknuti
smandrljam,smandrljati
smanjim,smanjiti
smanjujem,smanjivati
smatram,smatrati
smažem,smagati
smekšam,smekšati
smetam,smetati
smetem,smesti
smetnem,smetnuti
smežuram,smežurati
smičem,smicati
smijem,smijati
smiješim,smiješiti
smijuckam,smijuckati
smilim,smiliti
smilujem,smilovati
smirim,smiriti
smirujem,smirivati
smislim,smisliti
smišljam,smišljati
smjenjujem,smjenjivati
smjeram,smjerati
smjestim,smjestiti
smlatim,smlatiti
smlavim,smlaviti
smognem,smoći
smotam,smotati
smradim,smraditi
smrdim,smzdjeti
smrkavam,smrkavati
smrknem,smrknuti
smrskam,smrskati
smrskavam,smrskavati
smršavim,smršaviti
smrzavam,smrzavati
smucam,smucati
smućujem,smućivati
smutim,smutiti
snađem,snaći
snatrim,snatriti
snažim,snažiti
snebivam,snebivati
snesem,snijeti
sneveselim,sneveseliti
sniježim,sniježiti
snimam,snimati
snimim,snimiti
snivam,snivati
snizim,sniziti
snižavam,snižavati
snubim,snubiti
snujem,snovati
snuždim,snužditi
snužđujem,snužđivati
socijaliziram,socijalizirati
sokolim,sokoliti
solidariziram,solidarizirati
sondiram,sondirati
sortiram,sortirati
spadam,spadati
spajam,spajati
spakiram,spakirati
spalim,spaliti
sparim,spariti
sparujem,sparivati
spasim,spasiti
spavam,spavati
spazim,spaziti
specificiram,specificirati
spečem,speći
sperem,sprati
spetljam,spetljati
spikiram,spikirati
spim,spati
spiritualiziram,spiritualizirati
spiskam,spiskati
spjevam,spjevati
splasnem,splasnuti
splašnjavam,splašnjavati
splašnjujem,splašnjivati
splavarim,splavariti
spletem,splesti
spletkarim,spletkariti
spljoštim,spljoštiti
spočitavam,spočitavati
spojim,spojiti
spomenem,spomenuti
spominjem,spominjati
spopadnem,spopasti
sporazumijem,sporazumjeti
sporazumijevam,sporazumijevati
sporim,sporiti
spotaknem,spotaknuti
spoznajem,spoznavati
spoznam,spoznati
sprašim,sprašiti
spravim,spraviti
sprdam,sprdati
sprečavam,sprečavati
spremam,spremati
spremim,spremiti
sprežem,sprezati
spriječim,spriječiti
sprintam,sprintati
sprovedem,sprovesti
sprovodim,sprovoditi
sprtim,sprtiti
sprtljam,sprtljati
spržim,spržiti
spustim,spustiti
sputam,sputati
sramim,sramiti
sramotim,sramotiti
srastem,srasti
sravnim,sravniti
sravnujem,sravnjivati
srbujem,srbovati
srčem,srkati
srdim,srditi
sredim,srediti
sretnem,sresti
srežem,srezati
srljam,szljati
srnem,srnuti
srodim,sroditi
srozam,srozati
srozavam,srozavati
srubim,srubiti
srušim,srušiti
stacioniram,stacionirati
stagniram,stagnirati
stajem,stajati
staklim,stakliti
staložim,staložiti
standardiziram,standardizirati
stanem,stati
stanujem,stanovati
stanjim,stanjiti
stanjujem,stanjivati
stapam,stapati
staram,starati
starem,strti
starim,starjeti
startam,startati
stavim,staviti
stavljam,stavljati
stečem,steći
steknem,steći
stenjem,stenjati
stidim,stidjeti
stigmatiziram,stigmatizirati
stignem,stići
stijesnim,stijesniti
stiliziram,stilizirati
stinem,stinuti
stipendiram,stipendirati
stisnem,stisnuti
stišam,stišati
stižem,stizati
stjeram,stjerati
stojim,stajati
stolujem,stolovati
stopim,stopiti
